Type,Question
which role did,Which role did Stephanie Styles
what is the,What is the result of the Indian cricket team in England in 1932?
what lyrics did,What lyrics did Jeff Ament and Gossard write respectively?
what record did,What record did Viktor Saneyev (URS) make?
how did kenza,How did Kenza Tazi perform for Morocco at the 2014 Winter Olympics?
what are songs,"What are songs produced by Tyrone on a Reminisce album, Baba Hafusa?"
what are the,What are the films and languages where Mahesh Muthuswami acted in 2010.
how does west,How does West Indies' score compare to that of England's?
what is the,What is the best selling console game?
what two continents,What two continents have the smallest populations?
did any mayors,Did any mayors serve disjoint terms?
who performed amor,"Who performed ""Amor Ferido""?"
how many runs,How many runs did India lead by and with what total score?
what bitrates do,What bitrates do the AMR codecs use?
how well did,How well did coaches do at the Kent State Golden Flashes baseball in 1916 and 1922?
what happened to,What happened to the role of Color commentator in 2011?
when and where,When and where did Anandan Gunasekaran get Gold in the 200m?
what ambassador role,What ambassador role and when did Helgi Pálson Briem serve?
when and with,When and with which club and league did Tine Schryvers begin her club career?
by how much did,By how much did Benigo Fitial win his 2005 Gubernatorial Election?
what s the,What's the result of the second round?
what is the,"What is the first university to be founded in Germany after Heidelberg, Leipzig and Rostock?"
which cyclecars did,Which cyclecars did Eric Longden make with a wheelbase of 2489?
what were myron,What were Myron Cowen's accomplishments during the years 1948 and 1949?
what happened to,What happened to the production volume of the Chevrolet Corvette in 1966?
how did the,How did the proportion of second class honors awarded change between 1995 and 2011?
what values of,What values of the Hubble constant were found by the Planck Mission and the Hubble Space Telescope?
where did in,"Where did In 2007, the Col de l'Iseran in stage 9 start from?Where did the Col de l'Iseran in stage 9 start from?"
which labels released,Which labels released Leichenschrei before 1983?
how were west,How were West Indies dismissed against England in 1984?
what was the,What was the destructive power of the U-238 convoy?
how did guthrie,How did Guthrie perform in the 1997 Phoenix 200?
who was the,Who was the most successful 2007 College Football Hall of Fame coach?
what does the,What does the Don River Railway run on?
how big was,How big was the first phase of line 3?
which ships were,Which ships were completed?
how long did,How long did V Rama Rao serve as governor?
which games did,Which games did Paraguay win or get a draw in the 2002 FIFA World Cup and by how much?
how much did,How much did the Steel Phantom drop and what was the speed it reached?
how did gower,How did Gower play during his One Day Internationals throughout his career?
how did vardon,"How did Vardon, Renouf, and Taylor do in the 1898 Open Championship?"
what conclusions did,What conclusions did Hendry make about whether the identified and unidentified cases were unknowns (UFOs)?
who was togia,Who was Togia-Pulu-toaki and when did he come to power?
when and where,When and where were the two latest drop towers installed and what model and speed could they reach?
what changed in,What changed in power and torque between 1968-1981 for the M30B25?
what major partners,"What major partners run the 3 large oil sands mining operations in the area, and among them which is owned by Shell Canada, Chevron, and Marathon?"
what happened between,What happened between The Melbourne Ice and Melbourne Mustangs in 2018?
what were the,What were the release dates and labels for Gala in each country?
what are the,What are the top speed and acceleration for the Volkwagen Up 115 PS version?
which best selling,Which best selling singles sold 6.6 million copies?
what positions and,What positions and places did Nigh serve in Oklahoma?
what was the,What was the largest alliance in the 11th Parliament of Sri Lanka?
what was the,What was the outcome of the 2004 Slovak early parliamentary elections referendum?
what roles and,What roles and when has Sarla Grewal served in Madhya Pradesh?
by what margin did,By what margin did the Constitutional Amendment pass?
when was muhammadu,When was Muhammadu Maccido the Sultan of Sokoto?
what are staple,What are Staple's works prior to signing with Flicker Records?
how popular was,How popular was the The McLeod's Daughters season finale in 2007?
what is the,What is The Story of Natural Drugs mural?
what was neal,What was Neal Tiemann's first single as a lead guitarist?
when is espósito,When is Espósito's debut in television show?
did björk digital,"Before traveled across the globe to Tokyo, London, Mexico City, Los Angeles, where did Björk Digital debut on 4 June 2016?"
what songs did,What songs did Norma Jean Martine write in 2014?
how did republicans,How did Republicans perform in the 2008 election compared to the previous one?
when has martin,When has Martin won the Australian Drivers' Championship?
what were some,What were some battleship and light cruisers involved in the Omaha Beach bombardment?
what is released,What is released in 1998?
how many times,How many times did Arnold Schwarzenegger win Mr. Olympia?
which teams were,Which teams were competing for the Stanley Cup in the 2013-14 NHL season?
who appointed james,Who appointed James M. Love to a seat on the United States District Court for the District of Iowa and who did James M. Love replace?
what singles came,What singles came from the album Red River Blue and what were their peak charting positions?
who won the,Who won the 1889 Open Championship and what was their score?
who is the,Who is the champion of the 1993 Italian Superturismo Championship?
what awards has,What awards has Peter Rabbit won?
when was the,When was the album released in each format and by which label?
what is the,What is the horse power of the Chevrolet C/K engines through the years?
did lee h,Did Lee H. Katzin and Paul Michael Glaser vie for the same award?
how well did,How well did UDD performed during the year 2005 in their work for Up Dharma Down and Armi Millare?
how did france,How did France and Sweden do in the Eurovision Song Contest 2001
how large is,How large is Great Barrier Island?
how many gold,"Of the 17 NPCs that competed in the 1964 Summer Paralympics, which country ranked number 1, and how many gold medals were they awarded?"
what year did,What year did the Zhengzhou Open was first held as an ITF tournamenrvand when did it transition to a WTA type tournament?
which countries are,Which countries are hosts of the SAFF Women's Championship?
what are two,What are two airplanes that were used by Air Saint-Pierre in the past?
what were anoop,What were Anoop's first four films?
what works did,What works did Marcia Mitzman Gaven appear in between 1994 and 1996?
what were helen,What were Helen Hunt's successes from 1994 to 1996?
what exactly happened,What exactly happened to Class 310 and Class 312 trains?
which reserve was,Which reserve was managed by the National Trust in 1912?
how s french,How's French Guiana's GDP compare to that of metropolitan France in 2017?
how many medals,How many medals did Antonis Aresti win and for what event?
how to compare,How to compare Eee Top ET 1602 and 1603 in terms of graphics processor?
how is friuli,How is Friuli divided amongst its provinces?
what is participation,What is participation for 2018?
are the biggest,"Aside from Hinduism, what are the biggest religions in Mehsana?"
what station will,What station will be the last N line build in 2020?
who is the,Who is the latest Miss World Nicaragua?
how many tests,"How many tests, ODIs did Gargi Banerji play, and how many test runs did he get?"
what were the,What were the turnout and results for the 1969 Danish electoral age referendum?
what was emmanuel,What was Emmanuel Eboué's record for Arsenal during his time in the club?
did reshma rathore,Did Reshma Rathore win any awards in her film career?
when was the,When was the BRP Bacolod City and BRP Dagupan City commissioned into the Navy?
what awards did,What awards did Portland's Brodie Merrill win during the 2006 NLL Season?
when did woods,When did Woods receive the National Book Award and for what work?
what were the,What were the two most recent shootings in New Zealand?
did cal ripken,Whose record did Cal Ripken surpass to play the most consecutive games in Major League Baseball history?
where is the,Where is the 4A championship played?
how does twenty,How does twenty foot compare to cubic feet for 1 TEU?
who scored the,Who scored the most points and who finished the week with the highest score?
by how many votes,"In the 1842 Wallachian princely election, which candidate won and by how many votes?"
other,Was Patricia Green nominated for an Emmy Award in 1991?
when was the,When was the last time that Porto wins the Portuguese Handball League Cup?
what proportion of,What proportion of seats were won by the MPLA in the 1986 Angolan legislative election?
how did thiago,How did Thiago Pereira get sub-2 in the long course (50 meter pool)?
when did aaron,When did Aaron Craft win the Division I Men's Basketball Academic All-America Team Member of the Year?
what novels did,What novels did Connelly write in 1999-2000?
what single did,What single did Matraca Berg have in 1995 that was released by Patty Loveless?
which uyghur detainees,Which Uyghur detainees at Guantanamo Bay were released and transferred to Palau?
what is the,What is the Israeli Cassini Soldner known as ICS coordinate?
what was the,What was the racial makeup of Portland during the year 2000?
what was the,What was the winning party and what was the proportion of votes they won in this election?
when was the,"When was the 2017 Sea Star festival, and how many attended?"
what is the,What is the city of license for call sign CBF-4 on 1140 AM in Canada?
what are the,What are the longest caves in Bulgaria and what are their lengths?
where was the,Where was the Chrysalis album first released as the edition Désirs contraires?
how many votes,How many votes did the Workers' Liberation Front get in 2016 and 2017?
what are some,What are some awards Aneek Dhar has won?
what years did,What years did Jean Deschenes run for the Progressive Conservative Party and for what division?
when was colțea,When was Colțea București in third place in Romanian Football Championship?
which events did,"Which events did the boys and girls participate in, respectively?"
what stations does,What stations does the Chemmozhi express train run between?
what were the,What were the Ohio area codes in 1947?
what was the,What was the largest Arab American ethnic group in 2000?
what were the,What were the results of California's 2000 proposition 36?
what kind of,"What kind of radar was being designed in the USA, Ireland, Canada, Finland, and Germany?"
what films did,"What films did Robert Benton contribute to in the years 1967, 1977 and 1994?"
what is the,What is the power rating for the BMW N53 N53B30 engine?
how many spectators,"How many spectators attended the 2017 Copa del Rey de Baloncesto semi-final match between Baskonia and Real Madrid, and when did the match take place?"
when was hearn,"When was Hearn appointed as Canada's ambassador to Ireland, and who did she replace?"
when did the,"When did the final of the 1979–80 KNVB Cup take place, and who won?"
what is the,What is the range of caches for Pentium Pro's L2?
when did ubuntu,When did Ubuntu MATE put out a non LTS-release?
what is the,What is the largest red diamond in the world and what does it weigh?
how many games,How many games have the Cardinals played in their entire history?
which season of,Which season of Smallville performed the best during it's airing?
what high school,What high school football teams competed in the PIAA?
what were pavel,What were Pavel Pegov's world record times in the 500 m?
what were the,What were the types and numbers of aircraft lost by the USAF during Operation Linebacker II?
what is the,What is the second largest and largest religion in Kerala?
how popular was,How popular was the Arignar Anna Zoo in the years 2010-2011 and 2006-2007?
what was winston,What was Winston's record of yards and passes in the 2014 BCS National Championship Game?
did lunar orbit,Did Lunar Orbit Insertion change the orbit of Chandrayaan-1 on November 8 or 9?
what were the,What were the outcomes of the first two games the Turbo Chargers played in 2002?
did canada or,Did Canada or France score better?
when did humphrey,"When did Humphrey H. Leavitt get appointed, by whom, and for what role in 1834?"
how many was,How many was Australia all out for?
what is the,"What is the Seattle's population change of whiles from 1940, 1970, 1990, and 2010?"
who was the,"Who was the second person to earn the King of the Cage Light Heavyweight Champion, and where was he from?"
what were the,What were the LSWR O2 class numbers betwen 1889 and 1894?
what are the,What are the largest islands?
how did everton,How did Everton F.C. do against Manchester United and Tottenham Hotspur during their 2012-13 season?
how does the,How does the number of people with a university credential compare between the total and indigenous population of Ontario?
when and with,When and with what songs did Steel Breeze make it onto the US Hot 100?
which two films,Which two films are the two highest-grossing animated films in China?
when was monaxius,When was Monaxius praetorian prefect of the East?
what and when,"What and when was the lowest attendance for a 2007 Vandals game, and how did it compare to attendance on October 13?"
what happened to,What happened to Rashmika Mandanna immediately after their Telugu debut?
how did the,How did the Cuba women's national volleyball team do in the 1978 World Women's Volleyball Championship?
when and where,"When and where was the 1996 SANFL Grand Final played, and what was the capacity of the crowd?"
who has had,Who has had the most consecutive wins in the Cross Country Cycling Classic?
what number to,From what number to what number has the Taxable services increased ?
how many points,"How many points did Bahamontes win the mountains classification with, and how close was the second place competitor?"
what channels do,What channels do ABS-CBN Manila have and what are their frequencies?
what were the,What were the new area codes for the five cities running low on available phone numbers?
how many sets,How many sets did the 733 series consist of and what were the sets numbered as ?
when was the,When was the Mercedes-Benz 300 SL produced?
what year did,What year did Vikram win his second Filmfare Awards South Best Actor award and for which film?
what local bus,What local bus routes does NJ Transit provide?
who was the,"Who was the American League leader for batting average, home runs and RBIs, and what were those three totals?"
who won each,"At the 1981 World Outdoor Bowls Championship, who won each category?"
who holds the,Who holds the men's and women's records for the Norseman triathlon?
what is the,What is the molecular weight and isoelectric point of the Zinc Finger Protein 800 in Homo Sapiens?
what were max,What were Max Park's times for the 6x6x6?
who won the,Who won the series in 2013 and 2014?
in which all presbyterian,In which all Presbyterian church locations did J. Vernon McGee serve?
who replaced whom,Who replaced whom as the Commander of the Royal Siamese Army in 1938?
what was happy,What was Happy Tiger's final album in 1971 and what spot did it reach on the Billboard Pop Albums chart?
which age groups,"Which age groups in San Jose, Camarines Sur rank first, second and third?"
what is the,What is the second best-selling Mario Kart game?
what films are,What films are cloud Eight known for ?
what songs did,What songs did Sandeep produce in 2017?
which clubs competed,Which clubs competed in the 2017-2018 season of the Belarusian Men's Handball Championship?
when were lner,When were LNER Thompson Class A2 being withdrawn from their stations?
how did total,How did total immigration change from 1820 to 1830?
who is considered,"Who is considered the father of Miami, Florida?"
who were the,Who were the leading pitchers on the 2005 Minnesota Twins?
when did croydon,When did Croydon Central become a constituency and who represented them in 2017?
which candidate won,Which candidate won the 1990 Civic Forum leadership election and how many votes did they receive compared to their competitor?
what was the,What was the voter turnout and percent supporting in the National Front in the 1954 East German election?
how many acres,How many acres did Thomas Fire expand to by December 14?
what did srishti,What did Srishti Rana achieve in 2013?
what was the,What was the outcome of the 2011 Rally de Portugal?
which is a,Which is a pay-per-view (PPV) event?
how many wps,How many WPs were built between 1947 and 1966 and what were their numbers?
did the first,"Under Archery at the 2008 Summer Paralympics, how did the first-ranked archer do compared to the last archer?"
what is the,What is the frequency and locations for the WJLH station?
who voices lady,Who voices Lady Une in Japanese and in English?
what career records,What career records does Selanne hold for Anaheim?
when did saturn,When did Saturn I launches take place?When did Saturn I launches take place?
what were cortez,"What were Cortez Kennedy's tackle, sack, and interception statistics with Seattle, and how many games did it take to achieve them?"
where are some,Where are some of the Mandals of Krishna district located?
how many people,How many people voted in favor of the appointments for Defense and Foreign Affairs Minister in the Second Yatsenyuk government?
what label,"C. J. & Company released what albums in 1977 and 1978, and under what label?"
which cities did,Which cities did Aerodynamics Inc. offer flights to in 2018?
who had the,Who had the fastest time at the Kansas City qualifiers?
by what margin did,By what margin did the seventh Amendment of the Constitution of Ireland pass?
which record did,Which record did De Grasse set at the 2016 Summer Olympics – Men's 200 metres?
what number one,What number one UK single in the 1960s was the first to have its millionth sale?
how did luka,How did Luka Bar do in the 2016-17 Women's CEV Cup?
did yiwu meihu,Did Yiwu Meihu Sports Centre host any Kunlun events?
how many of,How many of the songs are from 1979?
how many group,How many Group C matches were played in Stadion Miejski during the Euro 2012?
what happened in,What happened in his fourth year as the coach for Rodriguez?
what film and,"What film and what actress portrayed a character named Emily, and when was the film released?"
what were willis,"What were Willis McGahee's carries, yards, average and touchdowns in 2002?"
how many scouts,"How many scouts, leaders, and IST members attended the 23rd World Scout Jamboree?"
which song won,Which song won the Eurovision Song Contest and how many points did it receive?
when were the,When were the M36B1 tanks produced?
what were the,What were the outcomes of St. Francis' first two games?
did the florida,Did the Florida Panthers and Winnipeg Jets play any games in Finland in the 2018 NHL Global Series?
which major us,Which major US protests were not centralized to a specific city?
what happened on,What happened on House Party At Big Jon's?
where were the,Where were the 2011-12 Maltese Premier League stadiums?
when did chen,"When did Chen Yu Chia achieve their personal best time in the individual medley, and what was it?"
what happened to,What happened to Watanabe at the 2018 All England Open partnered with Arisa Higashino
who is the,Who is the next caliphal governor of Sindh after Junayd ibn Abd al-Rahman al-Murri?
what film or,What film or show did Linck appear in but not produce?
where were all,Where were all the Army-Navy games held in the 60s and 70s?
what did bavna,What did Bavna Khatri do after Kis Desh Mein Hai Meraa Dil?
how popular is,"How popular is the song ""Nagareboshi to Koi no Ame"" in Japan?"
what happened to,What happened to the two athletes that won the same score in Archery at the 1960 Summer Paralympics?
did any players,"Did any players make over 1,000 yards receiving?"
by which classes are,By which classes are the Lowestoft railway station services are formed ?
what was the,What was the numerical breakdown of Kentucky's votes for the top two candidates in the 1964 presidential election?
who took the,Who took the place of Peter Randolph in the United States District Court for the District of Mississippi?
what are the,What are the Xeon models and their processing speed (Ghz)?
which countries were,"Until 1985, which countries were a part of the S.E.A Write Award?"
how much of,How much of Abu Dhabi's population lives in urban areas?
how many points,How many points did Bobby Smith score in the 1977–78 OMJHL season?
what is the,What is the event Bound for Glory?
did ai maeda,"Did Ai Maeda do any voice roles and, if so, what were they?"
what were joel,"What were Joel Quenneville's overall regular season and postseason records with Chicago, respectively, and how many wins earn over his entire career?"
what wielferich primes,What Wielferich primes are below 1000000?
what are some,What are some of the medals that J. Michael Doyon received?
did my love,Did My Love Is Like...Wo earn any accolades in 2003?
what films did,What films did Paul Zils direct in 1950?
which can seat,"Between the Flexity Classic and the Alstom Citadis, which can seat more?"
in which years did,In which years did Larisa Ilchenko win the Open Water Swimmers of the Year?
what was the,What was the number of supercomputers did China have as of 2018 which exceeded the United States?
what film was,"What film was Gioulakis contributed in 2016 after  he made the film ""It Follows""?"
what honor did,What honor did Masakazu Imanari achieve twice by defeating Tatsunao Nagakura and Yoshiro Maeda?
what films did,"In 2001, what films did Zerifa Wahid act in"
which team in,Which team in the Albanian Superliga won last season?
what diplomatic missions,What diplomatic missions have taken place at Midtown in Atlanta?
what is the,What is the SAR number range for the South African Class 10B 4-6-2?
who has the,Who has the record number of Australian matches?
which head coaches,Under which head coaches did John Harbaugh play for the Philadelphia Eagles?
what are cuthbert,What are Cuthbert's records for 220 yards and 200 metres?
what episode of,"What episode of Minder did Diane Keen appear in, and whom did she play?"
who played the,Who played the Mobbs Memorial Match from 2008-2011?
what awards and,What awards and nominations did The Messenger: The Story of Joan of Arc earn in 1999?
how did the,How did the revenue crores of TASMAC stand during the financial years 2009-10 and 2010-11?
how many happy,How many Happy Feet films were produced?
what does the,What does the Republican Act (RA) code stipulate?
what was the,"What was the outcome of the finals of the KNVB cup, and where was it held?"
what awards did,"What awards did ""The Haunting of Sharon Tate"" win?"
which party controls,"Which party controls a majority of the Colorado Senate, who is the president of the senate, and who is the majority leader?"
when and how,When and how did Kragujevac Wild Boars defeat Vukovi Beograd?
what programs does,What programs does the International Baccalaureate offer?
when did robert,When did Robert Hurley set his personal record in the 400m Freestyle and when did he set it?
what was the,What was the highest attendance for a sports event in Busch Stadium?
what championships did,What championships did Bowden and Dafoe finish first in?
who was the,Who was the most successful head coach for North Dakota State Bison football?
when did vladivostok,"When did Vladivostok, Murmansk, and Novorossiysk enter service?"
what happened to,What happened to Thomas Fire on January 12?
is bay point,"Is Bay Point a sub-neighborhood within the Upper East Side neighborhood, in Miami, Florida, United States?"
what was the,What was the admission rate and total number of applicants of Loyola Marymount University in 2015?
how much did,How much did John score to take silver in Athletics at the 1988 Summer Olympics?
what services were,What services were Colorado Public Radio providing in Denver?
how many people,"How many people did Nippert Stadium draw 35,061 for a friendly against Crystal Palace F.C. on July 16, 2016?"
who are the,Who are the largest shareholders of the Air Greenland airline?
when was jennifer,"When was Jennifer Jones not at skip, and who was instead on those teams?"
where did the,Where did the DC united Alums Bill Hamid and Andy Najar ended up playing?
how many people,How many people were living in Livadi in 2011?
how did nicolas,"How did Nicolas Sarkozy perform compared to Ségolène Royal and François Bayrou at the national level, and what percentage of the vote did each capture?"
who is arun,Who is Arun Kumar Singh?
what is the,What is the capability of the Yamaha FZ150i engine?
what is the,What is the best-selling United States hard rock artist and how many records have they sold?
what disciplines did,What disciplines did Matthias Kyburz win the gold medal?
what is the,What is the award for the Tedeschi Trucks Band in year 2012?
what happened to,What happened to Coach of the Year from 2014 to 2016?
which two 2013,"Which two 2013 albums featured Bas along with J. Cole and one other artist, and who was the other artist?"
what is guest,What is Guest appearance of Brendon Urie in 2014?
what is common,What is common among the winners of the Brighton Marathon from 2010 to 2014?
how did beerschot,How did Beerschot A.C. do in season 1991-92?
what band did,What band did Jason Everman left and for what reason?
what date was,"On what date was the album Autobiography released, and by what record label?"
when did flash,When did Flash Airlines shut down?
what singles did,What singles did Amber release in the year 2016?
did alison pargeter,Did Alison Pargeter play any roles at National Tour?
when and where,When and where did Nisha Kalema receive her third Best Actress Award?
what are the,What are the largest districts in Sindh by area and population?
when was alfa,"When was Alfa Romeo 75 1.8 Turbo introduced, and what was its power rating?"
what year saw,What year saw the largest number of BR Standard Class 2 2-6-0's in service and which year saw the most locomotives get withdrawn?
which screen sizes,"Which screen sizes were produced under the first, second, and third generation iPad Pro releases, respectively?"
what canadian records,What Canadian Records does George Kobaladze hold?
what is political,What is political career of Seth Hammett in 1978?
how effective was,How effective was Andrew Flintoff against India during the Cricket match?
how successful was,How successful was Pole Vault in 1991 and 1993?
what was the,What was the election result of British National Party?
which oliver stone,"In 2003, which Oliver Stone films did Rodrigo Prieto appear in?"
which cartridge has,Which cartridge has the highest muzzle velocity per gram of powder?
how good was,How good was Suprabha Beckjord in the 3100 Mile Race?
when did the,When did the most Regional partners join the Alliance of Conservatives and Reformists in Europe?
what international airport,What International airport is the second busiest in Canada and which is the first busiest?
who were the,Who were the Blaster Master games released by in North America?
in what city did,"In what city did BtoB perform during the ""Happy Summer Vacation with BTOB"" concert in July 2014?"
other,Were any Friends of Seyit & Şura Main Characters?
who held the,Who held the points record in 1954?
how was the,How was the St. Louis season's crowd distributed geographically from April 25 to April 28?
how many times,How many times did East Perth Eagles win Pre-SBL champion titles and when were the wins?
what power and,The 2010-2012 Active Hybrid7 Model has an electric motor with what power and torque rating?
who are the,Who are the most successful men and women swimmers of the Open Water Swimmers of the Year?
what tracks did,What tracks did Kronic produce on Pitbull's album Climate Change?
what were the,What were the two most deadly earthquakes in 1939?
what awards did,"What awards did Leticia Cáceres' production, The Drover's Wife win?"
what happened to,What happened to the Sunderland A.F.C. in 1997?
who was the,Who was the 3rd president of Washington & Jefferson College and when did their term begin and end?
what were some,What were some of Subhash Ghai's pieces of work during the years 1982 to 1991?
which opponents has,During which opponents has Rahul Dravid achieved a double hundred?
which aircrafts did,Which aircrafts did JMC Air consist of?
what ambassador role,What ambassador role did Karl von Struve serve?
which candidates were,Which candidates were selected by SRF/RTR?
which movies of,Which movies of Sabita Devi also had Motilal?
how many people,How many people populated the oblast as of 1897?
who hosted the,Who hosted the Auckland event?
what are the,What are the three busiest airports in South Africa?
what television roles,What television roles has Scott Clifton played since 2003?
did he earned,Whose score fell off his second year and how many yards and touchdowns did he earned?
what was the,What was the highest batting average that Tony Gwynn achieved for a season in his career and what year did he achieve it?
how destructive was,How destructive was the U-155 submarine?
where did australia,Where did Australia and South Africa host the 2014 Rugby Championships?
which parishes joined,Which Parishes joined the Spen Valley Constituency in 1918?
who were the,Who were the runner ups for NBL age between 23 and 29?
what was the,What was the male and female population of Shillya?
how many solo,"How many solo albums did Rikk Agnew release under label TripleX, and in what year?"
how was royal,How was Royal Blood's distribution managed in Europe?
what is the,What is the Republic of Indian Stream?
which uyghurs were,Which Uyghurs were transferred to Bermuda from Guantanamo bay?
how many total,How many total club appearances and goals did Steve Manaman earn before transferring to Real Madrid in 1999?
what are anthony,What are Anthony Ashnault's stats and accomplishments?
what are the,What are the four teams that took part in the 2016 Dresden Cup and which countries were they from?
what was the,"What was the name of the work released on June 2, 2017?"
what is the,What is the range of qualified dividends?
what did chelan,"What did Chelan Simmons do before returning to her role in ""Wonderfals""?"
did the c,Did the C.R. Os Belenenses reach the group stage in the 2015-16 UEFA Europa League?
what did mbm,What did MBM Productions produce in 1979 and who is the actor/actress?
which articulated vehicles,Which articulated vehicles in London were the first to be replaced?
how many lines,How many lines make up the Keisei Electric Railway and what is the total distance covered by the lines in total?
what is the,What is the result of the Assembly election in 2017?
what kinds of,What kinds of ACJ aircraft make up the fleet of Hongkong Jet?
what was the,What was the last Impact Wrestling event of 2005?
what was the,"What was the earthquake like on January 19, 1958?"
what were the,"What were the names and scores of the first, second, and fourth place finishers in the ladies short program, and what were their scores?"
what was the,What was the sample size of homes for Smart Thermostat fuel usage analysis?
what did matt,What did Matt Holliday accomplish in 2015?
what are the,What are the three largest regions of Quebec?
what were the,What were the first 3 releases by Hit It?
when did the,"When did the record label Edsel Records release One Day Son, This Will All Be Yours in the United Kingdom and United States?"
who was felix,Who was Felix Leiter portrayed by in 1973 and 1987?
what was ifeany,What was Ifeany Otounye accomplishments in Representing Turks and Caicos Islands at the 2011 Commonwealth Youth Games?
how many people,How many people use the Hector International Airport?
did lanny mcdonald,Did Lanny McDonald win any awards?
in what 3 provinces,In what 3 provinces was DC most popular?
what was the,What was the admit rate and number of applications of Vassar College in 2017?
who won the,Who won the victory of the Hungarian parliamentary election and by how many seats?
who was tanzania,Who was Tanzania's flag bearer at the 1972 Summer Olympics?
what happened to,What happened to Marsaxlokk F.C. in 2006?
how many episodes,"How many episodes of Diagnosis:Murder were in the eighth and final season, and when did that last season end?"
what is the,What is the total size of the Weinsberg and how is it split up?
in what year for,In what year for what film did Dawn French do her first voice role?
what was the,What was the age distribution in Angola like in 2010?
what were the,What were the names of the new expansion teams  founded by the NAHL and what states were they in?
who were the,Who were the first three winners of the BAA championship and in what years?
how many goals,How many goals out of how many matches did Piet Van Reenen score from 1929 to 1943?
when was hardy,"When was Hardy Richardson part of the ""Big Four""?"
what happened to,What happened to the world record for Longest Mini 4WD Track set in March 2011?
how much foie,How much foie gras did France produce in 2005?
how did st,How did St Kilda play against Hawthorn in Round 2?
when and for,When and for which work did the Puerto Rican duo R.K.M & Ken-Y receive the Billboard Latin Music Award?
what were the,"What were the songs released under the label ""Big Cat"" in 1990?"
when and for,When and for how long did Andal Azhagar air?
what period and,What period and epoch is Pliensbachian belongs to and what time range does it span?
how many touchdowns,How many touchdowns and field goals did Hammond score during the season in which he scored the most points?
which version of,Which version of the Welland Canal has the most locks and which version has the largest locks?
what were the,What were the 2 provinces in which PCI was the strongest?
who were the,"Who were the first two transfers in the 2011-12 season, and their fees?"
who was decided,Who was decided as the winner on December 13th and how close was the vote?
how much did,How much did the average attendance numbers for the Kansas City Comets vary?
what is jack,What is Jack of Hearts?
which teams did,Which teams did The San Jose Sharks pick in 2017 as 102nd and 123rd?
what awards did,What awards did American Epic receive?
what are some,What are some specs of Carrera S?
what is the,What is the racial makeup of Ann Arbor?
how many more,How many more passengers did the Moscow Domodedovo Airport serve in 2017 compared to the previous year?
