question,answer
What was the fourth highest grossing Bollywood film of 1969?,"Bandhan, starring Rajesh Khanna, Mumtaz, Rajendra Nath, and Sanjeev Kuma, was the fourth highest grossing Bollywood film of 1969."
What were the biggest operators by percentage?,The biggest operator is IPKO with 51.21% followed by PTK with 25.43% and Kujtesa with 19.08%.
"What is the song ""Mundhinam Parthene""?","The song ""Mundhinam Parthene"" was sung by Prashanthini for the movie Varanam Aayiram. It was composed by Harris Jayaraj."
When and in which category was Ling Kai nominated for her first YES 933 Singapore Hit Award?,"In the year 2014, Ling Kai was nominated as the best newcomer in the YES 933 Singapore Hit Awards 2014."
What are the provinces contained in the Walloon Region?,"The Walloon Region contains five provinces: Hainaut, Walloon Brabant, Namur, Liège and Luxembourg."
"In which film/show did Sofia Vassilieva play as Eloise, Ariel DuBois, and Kate Fitzgerald?","Sofia Vassilieva played as Eloise in Eloise at the Plaza and Eloise at Christmastime, Ariel DuBois in Medium and in My Sister's Keeper as Kate Fitzgerald."
"In 2009, what films did Ananya Chatterjee appear in?","In 2009, Ananya Chatterjee appeared in Atanu Ghosh's Angshumaner Chhobi, Suman Ghosh's Dwando, and in Anup Sengupta's Mama Bhagne."
What was the first institute of medical sciences in India and when did it open?,The AIIMS New Delhi institution was the first institute of medical sciences in India when it was established in 1956.
"Who directed the movie ""Naukari""?","""Naukari"" was a 1954 Bollywood film directed by Bimal Roy."
Who are presidents of Lithuania in 1940?,"In 1940, presidents of Lithuania include Antanas Smetona, Antanas Merkys, and Justas Paleckis."
Which stadium among all Triple-A stadiums has the largest seating capacity?,"The largest seating capacity among all Triple-A teams is Estadio de Béisbol Monterrey, which holds 27,000."
Who were the top 3 parties?,"The top 3 parties were the Labor party, with 46.7 percent of the vote, the Liberal party, with 22.2 percent of the vote, and the Country party, with 20.0 percent of the vote."
"What was the game played in Varsity Stadium on August 15, 1960, and why was it special temporally?","In 1960, the New York Giants and the Chicago Bears played at Varsity Stadium, the first NFL game playing outside the United States."
"When were LaShauntea Moore 200 m and 100 m best, and what were the times recorded?","LaShauntea Moore's 200 m best was at Baie Mahault in May and later that month had a personal best of 10.97 seconds for 100 m at the in Maringá, Brazil."
Did Minnesota Amendment 2 pass?,Minnesota Amendment 2 was defeated with 53.84% voting against the measure and 46.16% voting for the measure.
What is the 86th Guards Fighter Aviation Regiment equipped with between 1942 and 1943?,"Between November 1942 and 1943, the 86th Guards Fighter Aviation Regiment was equipped with Yakovlev Yak-7B fighters."
"Did Sophie's ""Herself"" win any award?","In 2002, Sophie Ellis-Bextor won the Recording Artist Award at the Showbusiness Awards with her work ""Herself""."
What is Marie Fouquet name after?,One of the craters of Venus is named after Marie Fouquet.
What was the change in the combined ratio of Lloyd's of London from 2017 to 2018?,"Lloyd's of London combined ratio was 104.5 percent in 2018, down from 114 percent in 2017."
When and where is Huracán broadcasted in Mexico?,"On October 13, 1997, Canal de las Estrellas in Mexico started broadcasting Huracán on weekdays."
How many times was Quintus Fabius Maximus Verrucosus in consul?,"Quintus Fabius Maximus Verrucosus was consul five times: in 233, 228, 215, 214 and 209 BC."
Who had the highest save percentage in the 2005 IIHF World U18 Championship Division III Qualification?,"In the 2005 IIHF World U18 Championship Division III Qualification, Turkey's Baris Ucele finished as the leading goaltender with a save percentage of 89.19."
Which countries are included in the Netball Quad Series?,"The Netball Quad Series was contested by the national teams of Australia, England, New Zealand and South Africa."
How did Matthieu Lecuyer perform when driving the Oreca 09?,Matthieu Lecuyer drove the Oreca 09 and finished third at both Silverstone and Imola.
Which role did Stephanie Styles,"In 2017, Stephanie Styles portrayed Princess Ann in Roman Holiday, at the Golden Gate Theatre."
What is the result of the Indian cricket team in England in 1932?,England won by 158 runs after scoring 259 and 275/8d in the two innings while India were bowled out for 189 and 187.
What lyrics did Jeff Ament and Gossard write respectively?,"Bassist Jeff Ament wrote the lyrics for three songs on the album (""Gods' Dice"", ""Nothing as It Seems"", and ""Sleight of Hand""), and Gossard for three (""Thin Air,"" ""Of the Girl"" and ""Rival"")."
What record did Viktor Saneyev (URS) make?,Saneyev made a new record of 17.39 m (57 ft ¹⁄₂ in) in the final on 17 August.
How did Kenza Tazi perform for Morocco at the 2014 Winter Olympics?,"Representing Morocco at the 2014 Winter Olympics, Kenza Tazi's overall time of two minutes and 17.15 seconds placed her in 45th position."
"What are songs produced by Tyrone on a Reminisce album, Baba Hafusa?","Tyrone produced 2 tracks, ‘Baba Hafusa’ and ‘Grind’ on a Reminisce album, Baba Hafusa."
What are the films and languages where Mahesh Muthuswami acted in 2010.,"In 2010, Mahesh Muthuswami acted in the Tamil films Nandalala and Vamsam, and Hindi film Alibaba Aur 41 Chor."
How does West Indies' score compare to that of England's?,"West Indies reached 245, and England declared 227–6."
What is the best selling console game?,"Super Mario 64 is one of the best selling games during fifth generation of video game consoles, selling 11.62 million copies."
What two continents have the smallest populations?,"Oceania has the second-smallest population, after Antarctica."
Did any mayors serve disjoint terms?,"Samuel Nicholas Smallwood was the fifth and seventh mayor of Washington, D.C."
"Who performed ""Amor Ferido""?","In 2007, Aline Wirley performed with Leandro Lehart on ""Amor Ferido""."
How many runs did India lead by and with what total score?,"India led by 313 runs, ending with a total score of 495."
What bitrates do the AMR codecs use?,"The AMR codec uses eight codecs with bit-rates of 12.2, 10.2, 7.95, 7.40, 6.70, 5.90, 5.15 and 4.75 kbit/s."
How well did coaches do at the Kent State Golden Flashes baseball in 1916 and 1922?,Alf Loval recorded a win as a coach of the Kent State Golden Flashes baseball in the 1916 season and Paul Chandler led to a 3–0 record in 1922.
What happened to the role of Color commentator in 2011?,"In 2011, Bob Griese joined the Dolphins Radio Broadcast team as a color commentator, replacing Jim Mandich."
When and where did Anandan Gunasekaran get Gold in the 200m?,Anandan Gunasekaran won the Gold medal in the 200m event in 2018 in Panchkula.
What ambassador role and when did Helgi Pálson Briem serve?,Helgi Pálson Briem was Ambassador of Iceland to Yugoslavia from 29 April 1953 to 28 December 1960.
When and with which club and league did Tine Schryvers begin her club career?,"Tine Schryvers signed with Vålerenga in 2016, but after one season in the Toppserien she moved to the Kristianstads DFF."
By how much did Benigo Fitial win his 2005 Gubernatorial Election?,Benigno Fitial defeated independent candidate Heinz Hofschneider and Republican Juan Babauta during the 2005 gubernatorial election with 28.1 percent of the vote.
What's the result of the second round?,"Bohuslav Sobotka won in the second round when he received 304 votes, while Hašek received 258."
"What is the first university to be founded in Germany after Heidelberg, Leipzig and Rostock?","University of Greifswald is the fourth oldest university, in present Germany."
Which cyclecars did Eric Longden make with a wheelbase of 2489?,Eric Longden's both four-cylinder versions had a wheelbase of 2489 mm.
What were Myron Cowen's accomplishments during the years 1948 and 1949?,Myron M. Cowen was appointed as the US Ambassador to Australia from 1948 to 1949.
What happened to the production volume of the Chevrolet Corvette in 1966?,"In 1966 Chevrolet Corvette's volume rose to 27,720 units, up from 1965's sales."
How did the proportion of second class honors awarded change between 1995 and 2011?,"Between 1995 and 2011, the grade inflation proportion of upper second class awarded for first degree courses increased from 40.42% to 48.38%, whilst lower second class honours dropped from 34.97% to 28.9%."
What values of the Hubble constant were found by the Planck Mission and the Hubble Space Telescope?,"The Planck mission published in 2018 indicated a value of 67.66±0.42 and in 2019, a value of 74.03±1.42 has been determined using the Hubble Space Telescope."
"Where did In 2007, the Col de l'Iseran in stage 9 start from?Where did the Col de l'Iseran in stage 9 start from?","In 2007, the Col de l'Iseran in stage 9, started from Val-d'Isère and went to Briançon."
Which labels released Leichenschrei before 1983?,Leichenschrei was released in 1982 on Thermidor Records in the United States and in 1983 on Side Effekts label in the United Kingdom.
How were West Indies dismissed against England in 1984?,"West Indies were dismissed for 245 in the first-innings, where Botham took 8-103."
What was the destructive power of the U-238 convoy?,U-238 sunk 2 ships which are Theodore Dwight Weld and Frederick Douglass.
How did Guthrie perform in the 1997 Phoenix 200?,"In the 1997 Phoenix 200, Guthrie completed the lap with a best of 169.484 and qualified in second place."
Who was the most successful 2007 College Football Hall of Fame coach?,"John Cooper had the most wins, with 193, and most seasons as head coach (24)."
What does the Don River Railway run on?,"The railway also runs a number of diesel locomotives numbered V2, X4, Y6 and 866."
How big was the first phase of line 3?,"Line 3's first phase has 16 stations, with a length of 25.138 km (15.620 mi)."
Which ships were completed?,"Cöln and Dresden, the only two ships to be completed, were launched on 5 October 1916 and 25 April 1917, respectively."
How long did V Rama Rao serve as governor?,V Rama Rao served as governor of Sikkim from 2002-2007.
Which games did Paraguay win or get a draw in the 2002 FIFA World Cup and by how much?,Paraguay won over Slovenia by 3–1 in Seogwipo and had drawn 2–2 in their opening game of 2002 FIFA World Cup against South Africa in Busan.
How much did the Steel Phantom drop and what was the speed it reached?,"The Steel Phantom dropped 225 feet (69 m), reaching a top speed of 80 miles per hour (130 km/h)."
How did Gower play during his One Day Internationals throughout his career?,"Gower played 114 One Day Internationals (ODI) scoring 3,170 runs."
"How did Vardon, Renouf, and Taylor do in the 1898 Open Championship?",Vardon was second on 154 with Thomas Renouf and J.H. Taylor on 156.
What conclusions did Hendry make about whether the identified and unidentified cases were unknowns (UFOs)?,"Out of 1,307 cases Hendry deemed 88.6% and 8.6% were unknowns (UFOs)."
Who was Togia-Pulu-toaki and when did he come to power?,"Togia-Pule-toaki was the eighth and possibly final patu-iki of Niue, taking power in 1896 following the death of the previous incumbent, Fata-a-iki"
When and where were the two latest drop towers installed and what model and speed could they reach?,"The two latest drop towers, installed in 1999 at Kings Island and 2003 at Kings Dominion, are Gyro Drop models, reaching speeds of 67 and 72 mph, respectively."
What changed in power and torque between 1968-1981 for the M30B25?,"Power remained unchanged at 110 kW (148 bhp), however torque increased slightly to 215 N⋅m (159 lb⋅ft)."
"What major partners run the 3 large oil sands mining operations in the area, and among them which is owned by Shell Canada, Chevron, and Marathon?","There are three large oil sands mining operations in the area run by Syncrude, Suncor Energy, and Albian Sands, the latter which is owned by Shell Canada, Chevron, and Marathon."
What happened between The Melbourne Ice and Melbourne Mustangs in 2018?,"At 19:30 of May 11, Melbourne Ice lost the game with Melbourne Mustangs with a score 3-5 for their 2018 AIHL season at the O'Brien Group Arena."
What were the release dates and labels for Gala in each country?,"Gala was released in the United States on 13 November 1990 on 4AD/Reprise Records, in Japan on 21 November 1990 on 4AD/Nippon Columbia, and in the United Kingdom on 3 December 1990."
What are the top speed and acceleration for the Volkwagen Up 115 PS version?,The Volkswagen Up 115 PS version has a top speed of 119 mph (192 km/h) in 8.8 seconds.
Which best selling singles sold 6.6 million copies?,"Umbrella, Whistle, and Hey, Soul Sister have each sold 6.6 million copies, making them some of the best selling singles."
What positions and places did Nigh serve in Oklahoma?,Nigh served as the 17th and the 22nd Governor of Oklahoma and as the 8th and 10th Lieutenant Governor of Oklahoma.
What was the largest alliance in the 11th Parliament of Sri Lanka?,The People's Alliance became the largest alliance in the 11th Parliament of Sri Lanka by winning 107 of the 225 seats.
What was the outcome of the 2004 Slovak early parliamentary elections referendum?,"The 2004 Slovak early parliamentary elections referendum was approved by 87.9% of those voting, and the voter turnout was 35.9%."
What roles and when has Sarla Grewal served in Madhya Pradesh?,Sarla Grewal was the Governor of Madhya Pradesh from 1989–1990.
By what margin did the Constitutional Amendment pass?,Voters passed the Constitutional Amendment by a margin of 53.84% to 46.16%.
When was Muhammadu Maccido the Sultan of Sokoto?,Muhammadu Maccido was the Sultan of Sokoto from 20 April 1928 to 29 October 2006.
What are Staple's works prior to signing with Flicker Records?,"Staple released an album ""Staple"" and ""Staple EP"" independently before signing to Flicker Records in 2004."
How popular was the The McLeod's Daughters season finale in 2007?,"The McLeod's Daughters season finale rose to 1.207 million viewers, making the highest viewed episode since 7-17 in June 2007."
What is The Story of Natural Drugs mural?,"The Story of Natural Drugs by the Thomas Jefferson League was a Native American-themed mural at the University of Illinois at Chicago Medical Center, Chicago."
What was Neal Tiemann's first single as a lead guitarist?,Tiemann's first single as a lead guitarist was Light On in 2008 off the album David Cook.
When is Espósito's debut in television show?,Espósito first television appearance was in Rincón de Luz in 2003 as Malena Coco Cabrera.
"Before traveled across the globe to Tokyo, London, Mexico City, Los Angeles, where did Björk Digital debut on 4 June 2016?","The Björk Digital debuted at Carriageworks in Sydney, Australia as part of the Vivid Sydney festival on 4 June 2016 and has traveled across the globe to Tokyo, London, Mexico City, Los Angeles, and other cities around the globe."
What songs did Norma Jean Martine write in 2014?,"In 2014, Norma Jean Martine co-wrote the single In Bilico of Michele Bravi’s album A Passi Piccoli and Lonely Nights (Hey You) of Ashley Roberts’ album Butterfly Effect."
How did Republicans perform in the 2008 election compared to the previous one?,"In Livingston Parish, the Republicans improved in the 2008 election, in which they received 43,269 votes and 85% of the total to 6,681 votes for Democrat."
When has Martin won the Australian Drivers' Championship?,"Martin's two Australian Drivers' Championship victories, in 1966 and 1967, racing for Bob Jane Racing."
What were some battleship and light cruisers involved in the Omaha Beach bombardment?,"The Omaha Beach bombardment force consists of Texas, light cruiser Glasgow, the French light cruisers Georges Leygues and Montcalm."
What is released in 1998?,"In 1998, Dreamism! by Dolly Mixture (band) was released on Trattoria label."
How many times did Arnold Schwarzenegger win Mr. Olympia?,"In 1970, Arnold Schwarzenegger captured his first Mr. Olympia title in New York and won the title a total of seven times."
Which teams were competing for the Stanley Cup in the 2013-14 NHL season?,"The Los Angeles Kings won the Stanley Cup, defeating the New York Rangers."
Who appointed James M. Love to a seat on the United States District Court for the District of Iowa and who did James M. Love replace?,"James M. Love received an appointment from Franklin Pierce on October 5, 1855, to a seat on the United States District Court for the District of Iowa vacated by John James Dyer."
What singles came from the album Red River Blue and what were their peak charting positions?,"Blake Shelton's album Red River Blue contains four number 1 singles: ""Honey Bee"", ""God Gave Me You"", ""Drink on It"", and ""Over""."
Who won the 1889 Open Championship and what was their score?,"Andrew Kirkaldy and Willie Park, Jr. were tied with 155 each."
Who is the champion of the 1993 Italian Superturismo Championship?,The 1993 season of the Italian Superturismo Championship was won by Ravaglia in a BMW 318i.
What awards has Peter Rabbit won?,"In 2018, Peter Rabbit was presented with the AACTA Award for Best Visual Effects or Animation, and an Australian Production Design Guild Award (APDG) in Visual Effects Design and Drawing, Concept Illustration & Concept Models for Screen."
When was the album released in each format and by which label?,"The album was released in Japan on 2011, on CD through Tearbridge and on double LP through Daymare, and was released through Sargent House on 2011."
What is the horse power of the Chevrolet C/K engines through the years?,"The Chevrolet C/K engines were a 160 hp (119 kW) 4.3 L V6, a 210 hp (157 kW) 5.7 L V8 and a 6.2 L diesel V8."
Did Lee H. Katzin and Paul Michael Glaser vie for the same award?,Directors Lee H. Katzin and Paul Michael Glaser both vied for 1985's Outstanding Directing for a Drama Series award.
How well did UDD performed during the year 2005 in their work for Up Dharma Down and Armi Millare?,"In 2005, the UDD band won the Raw Award as well as Best New Artist and Best Female Award for Armi Millare, in 2006."
How did France and Sweden do in the Eurovision Song Contest 2001,France came in 4th with 142 points and in 5th place was Sweden with 100 points in Eurovision Song Contest 2001.
How large is Great Barrier Island?,"Great Barrier Island is the sixth-largest island with an area of 285 square kilometres, or 0.1% of New Zealand area."
"Of the 17 NPCs that competed in the 1964 Summer Paralympics, which country ranked number 1, and how many gold medals were they awarded?","The United States had both the most gold medals, with 50, and the most medals in total, with 123."
What year did the Zhengzhou Open was first held as an ITF tournamenrvand when did it transition to a WTA type tournament?,"The Zhengzhou Open has been held since 2014, as an ITF tournament and then as WTA 125K tournament in 2017 and 2018."
Which countries are hosts of the SAFF Women's Championship?,"The SAFF Women's Championship hosts are Bangladesh, India, Nepal, Pakistan and Sri Lanka."
What are two airplanes that were used by Air Saint-Pierre in the past?,The Air Saint-Pierre used Beechcraft Model 18 and Hawker Siddeley HS 748.
What were Anoop's first four films?,"After making Niranjana Anoop's debut in Yasagan (2014), she appeared in the films Soan Papdi (2015), Loham (2015) and 465 (2017)."
What works did Marcia Mitzman Gaven appear in between 1994 and 1996?,"Gaven made appearances in The Red Planet (1994), The George Carlin Show (1994), Ellen (1995), Get Smart (1995), and The Drew Carey Show (1996)."
What were Helen Hunt's successes from 1994 to 1996?,"Helen Hunt won the award for Funniest Female Performer in a TV Series (Leading Role) Network, Cable or Syndication three times from 1994 to 1996."
What exactly happened to Class 310 and Class 312 trains?,Class 310 and Class 312 trains were in the process of withdrawal at privatisation.
Which reserve was managed by the National Trust in 1912?,Blakeney Point is managed by National Trust since 1912 and is a nature reserve in the North Norfolk Coast Site of Special Scientific Interest.
How's French Guiana's GDP compare to that of metropolitan France in 2017?,"In 2017, the GDP per capita of French Guiana was €16,218, but that only represented 46.7% of metropolitan France's average GDP per capita that year."
How many medals did Antonis Aresti win and for what event?,Antonis Aresti won two silver medals in the Men's 200m T46 and Men's 400m T46 with times of 22.15 seconds and 48.87 seconds respectively.
How to compare Eee Top ET 1602 and 1603 in terms of graphics processor?,"The Eee Top ET 1602 has integrated Intel GMA 950 graphics processor, while the 1603 includes the ATI Radeon HD 3450."
How is Friuli divided amongst its provinces?,"Friuli is subdivided among the provinces of Udine with a land area of 4,905 square kilometres, Pordenone with 2,178 square kilometres and Gorizia with 466 square kilometres."
What is participation for 2018?,"2018 saw 32,000 participants for 1,550 films in 300 cities around 30 countries."
"Aside from Hinduism, what are the biggest religions in Mehsana?","Islam is the second-most-popular religion in Mehsana at 9.26%, followed by Jainism at 1.62%, Sikhism 0.28%and Christianity at 0.27%."
What station will be the last N line build in 2020?,The N Line will be build to the Eastlake/124th Avenue Station with an opening in 2020.
Who is the latest Miss World Nicaragua?,The latest Miss World Nicaragua is María Teresa Cortez from Carazo.
"How many tests, ODIs did Gargi Banerji play, and how many test runs did he get?",Gargi Banerji played a total of 12 Tests and 26 ODIs and scored 614 runs.
What were the turnout and results for the 1969 Danish electoral age referendum?,The 1969 Danish electoral age referendum was rejected by 78.6% of voters with a turnout of 63.6%.
What was Emmanuel Eboué's record for Arsenal during his time in the club?,"From 2005 to 2011, Emmanuel Eboué played 214 games for Arsenal, and scored 10 goals."
Did Reshma Rathore win any awards in her film career?,"Reshma Rathore was awarded Best Confident Face of The Year in 2012 for the movie ""Ee Rojullo"" and also nominated for 2nd South Indian International Movie Awards for best Female Debutant in the same year."
When was the BRP Bacolod City and BRP Dagupan City commissioned into the Navy?,"The first unit, BRP Bacolod City was commissioned into Navy in December 1993, while BRP Dagupan City was commissioned in April 1994."
What awards did Portland's Brodie Merrill win during the 2006 NLL Season?,Portland's Brodie Merrill won both the Defensive Player of the Year and Rookie of the Year awards.
When did Woods receive the National Book Award and for what work?,"In 1981, Woods received the National Book Award for the Translation of Schmidt's Evening Edged in Gold."
What were the two most recent shootings in New Zealand?,The Christchurch mosque shootings attacks were the first shootings in New Zealand since the Raurimu massacre in 1997.
Whose record did Cal Ripken surpass to play the most consecutive games in Major League Baseball history?,"Ripken surpassed Lou Gehrig, whose record was 2,130."
Where is the 4A championship played?,The 4A championship was played between champion Bishop Gorman and Del Sol at Sam Boyd Stadium.
How does twenty foot compare to cubic feet for 1 TEU?,"The twenty-foot has a volume range of 680 to 1,520 cubic feet for one TEU."
Who scored the most points and who finished the week with the highest score?,"Arshad Ke Punters scored the most points, but Shreyas Chi Mandli finished the week with the highest score of 189."
"In the 1842 Wallachian princely election, which candidate won and by how many votes?","In the 1842 Wallachian princely election, Bibescu claimed a majority with 131 votes."
Was Patricia Green nominated for an Emmy Award in 1991?,"Patricia Green was nominated for an Emmy Award for writing in 1991 for her work on the L.A. Law episode, ""Mutinies On The Banzai""."
When was the last time that Porto wins the Portuguese Handball League Cup?,"In 2008, Porto defeated Sporting by 23–18 and claimed their third win in the competition"
What proportion of seats were won by the MPLA in the 1986 Angolan legislative election?,"In the 1986 Angolan legislative election, MPLA won 173 out of the 289 seats."
How did Thiago Pereira get sub-2 in the long course (50 meter pool)?,"Thiago Pereira broke the South American record two more times, with times of 1:59.92 and 1:59.48."
When did Aaron Craft win the Division I Men's Basketball Academic All-America Team Member of the Year?,Aaron Craft is the 2012-13 and 2013-2014 Division I Men's Basketball Academic All-America Team Member of the Year.
What novels did Connelly write in 1999-2000?,Michael Connelly wrote Angels Flight (1999) featuring Bosch before writing Void Moon (2000) featuring Cassie Black.
What single did Matraca Berg have in 1995 that was released by Patty Loveless?,"Berg's 1995 song, ""You Can Feel Bad"", recorded by Patty Loveless."
Which Uyghur detainees at Guantanamo Bay were released and transferred to Palau?,"On October 31, 2009 ""Edham Mamet"", Ahmad Tourson, Abdul Ghappar Abdul Rahman, Anwar Hassan, Dawut Abdurehim and Adel Noori were released and transferred to Palau."
What is the Israeli Cassini Soldner known as ICS coordinate?,The Israeli Cassini Soldner known as ICS coordinate is: E 172249 and N 1131586.
What was the racial makeup of Portland during the year 2000?,"The racial makeup of the Portland was 91.27% White, 2.59% African American, 3.08% Asian and 1.86% from two or more races."
What was the winning party and what was the proportion of votes they won in this election?,FDP.The Liberals1 won with 41 of the 115 seats.
"When was the 2017 Sea Star festival, and how many attended?","Sea Star Festival took place May 25–28, 2017 and was attended by 50,000 people."
What is the city of license for call sign CBF-4 on 1140 AM in Canada?,"Matagami, Quebec is the city of license for CBF-4."
What are the longest caves in Bulgaria and what are their lengths?,"The longest caves in Bulgaria are Duhlata (18,200 m) and Orlova Chuka (13,437 m)."
Where was the Chrysalis album first released as the edition Désirs contraires?,The Chrysalis album Désirs contraires edition was first released in France by Columbia Records on 2 October 2000.
How many votes did the Workers' Liberation Front get in 2016 and 2017?,"In 2016 The Party Workers' Liberation Front had 622 votes, and in 2017, in a joint list with Partido Aliansa Nobo, they had 1,124 votes."
What are some awards Aneek Dhar has won?,Aneek Dhar won Zee TV Sa Re Ga Ma Pa Challenge 2007 and Zee Bangla SaReGaMaPa both in the same year.
What years did Jean Deschenes run for the Progressive Conservative Party and for what division?,Jean Deschênes was the Progressive Conservative Party's candidate for Bellechasse in the 1979 and 1980 federal elections.
When was Colțea București in third place in Romanian Football Championship?,Colțea București was in third Place in Romanian Football Championship: 1915–16 and 1919–20.
"Which events did the boys and girls participate in, respectively?","Boys raced in Cross Country, Time Trial, BMX and Road Race while the girls competed in only three events: Cross Country, Time Trial, and BMX."
What stations does the Chemmozhi express train run between?,Chemmozhi express (Train Nos 16615/16616) is a train runs daily between Coimbatore Junction and Mannargudi.
What were the Ohio area codes in 1947?,"In 1947, area codes of the state were 216, 419, 513, and 614."
What was the largest Arab American ethnic group in 2000?,"In 2000, the largest Arab American ethnic group was the Lebanese Americans, with 440,279 people, which was 0.2% of the US population."
What were the results of California's 2000 proposition 36?,"In 2000, the proposition was passed with 6,233,422 (60.86%) votes in favor and 4,009,508 (39.14%) against."
"What kind of radar was being designed in the USA, Ireland, Canada, Finland, and Germany?",A 35.5 GHz Ka-band cloud radar (MIRA-36) was designed.
"What films did Robert Benton contribute to in the years 1967, 1977 and 1994?","Benton contributed his writing work in Bonnie and Clyde (1967), The Late Show (1977) and Nobody's Fool (1994)."
What is the power rating for the BMW N53 N53B30 engine?,"The BMW N53 version N53B30 engine produces 160 kW (215 bhp) at 6,100 rpm."
"How many spectators attended the 2017 Copa del Rey de Baloncesto semi-final match between Baskonia and Real Madrid, and when did the match take place?","The 18 February 2017 Copa del Rey match between Baskonia and Real Madrid began at 18:30 (CET) and had 15,465 spectators."
"When was Hearn appointed as Canada's ambassador to Ireland, and who did she replace?","On November 19, 2010, Hearn was Canada's ambassador to Ireland and was succeeded by Pat Binns."
"When did the final of the 1979–80 KNVB Cup take place, and who won?","The final was played on May 17, 1980: Feyenoord beat Ajax by 3–1 and won the 1979–80 KNVB Cup."
What is the range of caches for Pentium Pro's L2?,Pentium Pro's L2 cache ranged from 256 KiB to 1 MiB.
When did Ubuntu MATE put out a non LTS-release?,"Ubuntu MATE 17.10 was a non-LTS release that was released on October 19th, 2017."
What is the largest red diamond in the world and what does it weigh?,"The largest red diamond in the world is the Moussaieff Red Diamond, which weighs 5.11 carats."
How many games have the Cardinals played in their entire history?,"The Louisville Cardinals, have played in 962 games since their 1912 season."
Which season of Smallville performed the best during it's airing?,"Over ten seasons the Smallville averaged, million viewers per episode, is with season two's highest rating of 6.3 million."
What high school football teams competed in the PIAA?,567 high school football teams competing in the Pennsylvania Interscholastic Athletic Association's (PIAA) 12 Districts.
