question,sparql
Who received two Tony Awards for her role in Waitress and Carousel?,SELECT?value WHERE { wd:Q230028 p:P166?s.?s ps:P166 wd:Q830079.?s pq:P805?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
Which is the sequel to the 2008 film Iron Man and which number is it in the Marvel Cinematic Universe list?,SELECT?obj WHERE { wd:Q5190 p:P123?s.?s ps:P123?obj.?s pq:P805 wd:Q46232990 } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e }
"How many seats do The Perth Wildcats have 14,846 seats at Perth Arena?","SELECT?value WHERE { wd:Q4037 p:P1082?s.?s ps:P1082?x filter(contains(?x,'6922.0')).?s pq:P459?value}5862')).?s pq:P459?value}5862')).?s pq:P459?value}}5902')) }  BY?value}}5902')).?s pq:P459?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }  BY?value}}5902')) }"
What was Toby Wynn's result in his first year at Emporia State?,SELECT?value WHERE { wd:Q9669 p:P69?s.?s ps:P69 wd:Q2220727.?s pq:P580?value}}793.?s pq:P582?value}}793 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 } e p:P166 }
When was Rogers the Mayor of Plymouth?,SELECT?value WHERE { wd:Q7830 p:P6?s.?s ps:P6 wd:Q786626.?s pq:P580?value}21215.?s pq:P580?value}21215.?s pq:P580?value}21?value}21215 } .?s pq:P580?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21?value}21
What honor did Masakazu Imanari achieve twice by defeating Tatsunao Nagakura and Yoshiro Maeda?,SELECT?obj WHERE { wd:Q23365 p:P39?s.?s ps:P39?obj.?s pq:P1365 wd:Q2040683 }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }
What are the power and engine discrepancies in the 3.0 L supercharged model?,SELECT?obj WHERE { wd:Q2139092 p:P2386?s.?s ps:P2386?obj.?s pq:P642 wd:Q47183552 } e  } e  } e   } e    }                                                                                       
"During his six seasons at CSKA Sofia, how many goals and matches did Hristo Yanev score and play at the club?",SELECT?value WHERE { wd:Q31236 p:P54?s.?s ps:P54 wd:Q9209.?s pq:P1350?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
"In which production was Noel Comia Jr. cast as ""Jeremy Potts"" at the Newport Performing Arts Theater in Resorts World Manila in 2017?",SELECT?value WHERE { wd:Q134028 p:P175?s.?s ps:P175 wd:Q191400.?s pq:P585?value}586 } e.?s pq:P585?value}}586 } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } e } 
Who wrote Exo’s 2015 single “Love Me Right”?,"SELECT?value WHERE { wd:Q9028 wdt:P86?s.?s ps:P169?x filter(contains(YEAR(?x),'2015')).?s pq:P642?value}5862')).?s pq:P642?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}"
What nomination did Kelly Thornton receive at the 2013 Galway Film Fleadh?,SELECT?obj WHERE { wd:Q294769 p:P1411?s.?s ps:P1411?obj.?s pq:P1686 wd:Q1851347 }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } 
What was the second single from Approved and when did it air on canadian rock radio stations?,SELECT?answer WHERE { wd:Q205737 wdt:P658?X.?X wdt:P676?answer}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
"Which Crystal kay album sold 87,669 copies in one year and what year did this amount of copies sell?","SELECT?value WHERE { wd:Q902857 p:P3362?s.?s ps:P1198?x filter(contains(?x,'08100.0')).?s pq:P585?value}5862')).?s pq:P585?value}5862'))')).?s pq:P585?value}}132'))')) }  BY ASC(?obj)LIMIT?value}}132'))')) }  BY ASC(?obj)LIMIT?value}}132'))')) }  BY ASC(?obj)LIMIT?value}}132'))')) }  BY ASC(?obj)LIMIT?value}}132'))')) }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT8113 }  BY ASC(?obj)LIMIT81"
Where did Javier Méndez playin 2013 and 2014 before joining Rentistasin 2015?,"SELECT?obj WHERE { wd:Q31236 p:P54?s.?s ps:P54?obj.?s pq:P582?x filter(contains(YEAR(?x),'2013')) }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  } 70 }  }  } 70 }  }  }  } "
In what year did Syracuse win its first national championship and against what opponent?,SELECT?value WHERE { wd:Q257723 wdt:P641?s.?s ps:P1344 wd:Q851.?s pq:P805?value}}027.?s pq:P805?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
What role did Gray Haddock play in the movie Tekken?,SELECT?value WHERE { wd:Q134028 p:P161?s.?s ps:P161 wd:Q48045.?s pq:P453?value}58672.?s pq:P453?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
How fast did Becker finish in the 4x100 m relay at the World Championships?,SELECT?value WHERE { wd:Q470547 p:P1344?s.?s ps:P1344 wd:Q375641.?s pq:P166?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }  BY13?value}49m')) }
"What many candidates did LDP, Komeito, Kibo, and Ishin field in the 2017 general election?",SELECT?obj WHERE { wd:Q31764 p:P39?s.?s ps:P39?obj.?s pq:P768 wd:Q79297 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 } 70 }
Who were the winners of the Vezina Trophy and what season did they win them?,SELECT?ans_1?ans_2 WHERE { wd:Q128446 wdt:P2522?ans_1. wd:Q128446 wdt:P641?ans_2 }  ASC(?obj)LIMIT. wd:Q128446 wdt:P1344?ans_2 }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT }  ASC(?obj)LIMIT
What were Liza Weil's roles in the Gilmore Girls franchise?,SELECT?value WHERE { wd:Q5169 p:P161?s.?s ps:P161 wd:Q46945.?s pq:P453?value}5862')).?s pq:P453?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
How did each of the teams in second to sixth place perform at the 2009 NCAA Women's Gymnastics Championship?,SELECT?value WHERE { wd:Q4152023 p:P1344?s.?s ps:P1344 wd:Q8656.?s pq:P166?value}}027.?s pq:P166?value}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}02708 }  BY?value}}}
"Who succeeded James Hyde as Principal of Hertford College, Oxford in 1681?","SELECT?obj WHERE { wd:Q363014 p:P39?s.?s ps:P39?obj.?s pq:P582?x filter(contains(YEAR(?x),'122')) } e } e } e } e } e } e } e } e }  } e }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } "
What series and system have the base at the same time as that of the Asselian stage?,SELECT?answer WHERE { wd:Q204026 wdt:P155?X.?X wdt:P179?answer}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
"How many copies were sold to give “Ocean"" number two at the weekly Oricon Singles Chart on June 12th 2003?","SELECT?value WHERE { wd:Q9395 p:P2260?s.?s ps:P577?x filter(contains(YEAR(?x),'1933')).?s pq:P123?value}}3865.?s pq:P585?value}}}3865u')).?s pq:P585?value}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}"
How many WPs were built between 1947 and 1966 and what were their numbers?,"SELECT?obj WHERE { wd:Q1993 p:P1573?s.?s ps:P1573?obj.?s pq:P580?x filter(contains(YEAR(?x),'1966')) }  BY }   }   }   }   }   }    }    }     }                                                                  ASC(?obj)LIMIT wd:Q46        ASC(?obj)LIMIT wd:Q46"
Were the Texas Rollergirls beaten between 2009 and 2012?,ASK WHERE { wd:Q28028169 wdt:P1098?obj filter(?obj = 0.0) }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  }  } 
In what year did did Fink release the track Perfect Darkness?,"SELECT?value WHERE { wd:Q21885 p:P747?s.?s ps:P747?x filter(contains(?x,'P4')).?s pq:P585?value}49m')) } e2')).?s pq:P585?value}49m')) } e2')).?s pq:P585?value}49m')) } e2')).?s pq:P585?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m')) } e2'))?value}49m'))"
What bitrates do the AMR codecs use?,select distinct?obj where { wd:Q122248 wdt:P98?obj.?obj wdt:P31 wd:Q17726351 }  }  } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 } 22 }
What was the majority vote for Roderic Bowen to be elected and which party did he defeat?,SELECT?ans_1?ans_2 WHERE { wd:Q10125 wdt:P1411?ans_1. wd:Q10125 wdt:P1346?ans_2 }  } e } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } e2 } 
What year was the final single from Unapologetically realeased and what was it called?,SELECT?answer WHERE { wd:Q514936 wdt:P658?X.?X wdt:P577?answer}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}}
