question,answer,question_type,skills,answer_type
how many matches did ignacio camacho play for malaga before joining wolfsburg?,199.0,Simple,Comparative;Filtering time;Counting,Number
in 2013/2014\, on any given day\,Simple,No skill,Person
in the 10 reporting provinces and territories for which both custody and community data were available\, how many adult offenders are in either custody or a community program on a given day?,Intersection,No skill,Person
what is the incarceration rate of total correctional services?,492,Simple,Aggregation,Number
what are the percentage change of incarceration rate from the previous year and from five years earlier\, respectively?,Intersection,No skill,Unknown
how many adult offenders are in the federal correctional system?,22895,Simple,Counting,Number
what is the federal incarceration rate?,81,Simple,Counting,Number
how many percent of the federal incarceration rate was decreased from pervious year?,3,Simple,Counting,Number
compared to 2009/2010\, how many percent of the federal incarceration rate was increased?,Simple,No skill,Person
how many percent of adults under correctional supervision in the provinces and territories in 2013/2014 were in custody?,0.186393,Intersection,Counting,Number
how many percent of adults under correctional supervision in the provinces and territories in 2013/2014 were in the community?,0.821697,Intersection,Counting,Number
in 2013/2014\, how many adults are in custody on an average day?,Simple,No skill,Person
in 2013/2014\, how many adult offenders are in provincial/territorial custody?,Simple,No skill,Person
in 2013/2014\, how many adult offenders are in federal custody?,Simple,No skill,Person
what is the provincial/territorial incarceration rate for custody?,87,Simple,Counting,Number
how many percent of the provincial/territorial incarceration rate for custody is decreased from previous year?,3,Simple,Counting,Number
how many percent of the federal incarceration rate for custody is increased from the previous year to 54 offenders per 100\,000 adult population?,Simple,Counting,Person
how many provinces and territories has reported a decreasing incarceration rate for custody only among 12 reporting provinces and territories?,5,Simple,Counting,Number
which province has the highest rate of incarceration in custody at 242 per 100\,000 adult population?,Simple,Superlative,Person
which province has the lowest incarceration rate in custody?,british columbia,Simple,Superlative,Person
on any given day in 2013/2014\, in the 10 provinces and territories for which community data were reported\,Simple,No skill,Person
how many offenders are being supervised by correctional service canada on day parole\, full parole\,Simple,Counting,Person
in provincial/territorial corrections\, what is the rate of adult offenders being supervised in the community stood in 2013/2014?,Simple,Filtering time,Date
in provincial/territorial corrections\, how many percent point of the rate of adult being supervised in community stood has decreased from the previous year?,Simple,No skill,Person
how many percent point of the rate of federal offenders in community supervision has declined to a rate of 27 adults per 100\,000 population?,Simple,Counting,Number
when did the one you love release?,1982.0,Simple,Filtering time,Date
what was the peak chart position on the billboard 200 of siren song of the counter culture?,136.0,Simple,Counting,Number
in alberta's agricultural region 7\, what was the percentage of french-language workers born in canada\,Simple,No skill,Person
in 2011\, what was the percentage of french-language agricultural workers were catholic\,Simple,No skill,Person
what was the percentage of french-language workers declared having no religious affiliation of french-language workers in manitoba's region 9?,7.0,Simple,Negation,Number
what was the percentage of the other agricultural workers declared having no religious affiliation in manitoba's region 9?,17.9,Simple,Negation,Number
in 2013/2014\, what is number of the total admissions to federal and provincial/territorial adult correctional services in the 12 reporting provinces and territories?,Simple,No skill,Person
what is the decrease rate of total admissions in correctional supervision from the previous year in 2013/2014?,3,Simple,Aggregation,Number
how many percent of all admissions was to provincial/territorial corrections?,0.953605,Simple,Counting,Number
in the 12 reporting provinces and territories\, what is the largest overall decrease rate from 2012/2013 in total correctional supervision?,Simple,Filtering time,Date
in the 12 reporting provinces and territories\, which region has recorded the largest overall decrease from 2012/2013 in total correctional supervision?,Simple,Filtering time,Date
from 2012/2013 to 2013/2014\, what is the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?,Simple,No skill,Person
from 2012/2013 to 2013/2014\, which region has recorded the largest increase in admissions to correctional supervision among 12 reporting provinces and territories?,Simple,No skill,Person
while accounting for 15% of overall admissions\, which sector has smaller share of female admissions? custody or community supervision?,Simple,Aggregation,Person
how many percent of admissions to total correctional supervision in 2013/2014 are aboriginal adults?,24.0,Simple,Aggregation;Counting,Number
how many percent of total custodial admissions in the provinces and territories in 2013/2014 are admitted by aboriginal people?,26.0,Intersection,Aggregation;Counting,Number
how many percent of total community admissions are addmited by aboriginal people in the provinces and territories?,23.0,Intersection,Aggregation;Counting,Number
in 2013/2014\, what is the total operating expenditures for correctional services in canada?,Simple,No skill,Person
in 2013/2014\, how many percent of total operating expenditures for correctional services in canada has increased from the previous year after adjusting for inflation?,Simple,No skill,Person
what is the total operating expenditures for correctional services for each person in the canadian population?,130.32,Simple,Aggregation,Number
which sector has a higher total cost? federal adult correctional services or the provincial and territorial system?,federal,Simple,Aggregation,Unknown
on average\, in 2013/2014\,Simple,Filtering time,Date
on average\, in 2013/2014\,Simple,Filtering time,Date
what is the overall rate of childhood physical abuse across ages 15 to 74?,17.8,Simple,Aggregation,Number
if the respondent had also experienced sexual abuse in childhood\, what is the rate of physical abuse across ages 15 to 74?,Simple,No skill,Person
for all individuals aged 15 to 74\, what is the rate of experiencing physical abuse in childhood if they also witnessed parental violence at least six times?,Simple,No skill,Person
among those who said they witnessed parental violence between one and five times\, how many percent of people would say they were victims of childhood physical abuse?,Simple,No skill,Person
for those who witnessed no parental violence\, how many percent of people would say they were victims of childhood physical abuse?,Simple,Negation,Person
among those aged 15 to 74 who said they had experienced any type of violence in childhood\, how many percent of people would say it was physical abuse only?,Simple,No skill,Person
among those aged 15 to 74 who said they had experienced any type of violence in childhood\, how many percent of people would say it was sexual abuse only?,Simple,No skill,Person
among those aged 15 to 74 who said they had experienced any type of violence in childhood\, how many percent of people would say that they had witnessed frequent parental violence only?,Simple,No skill,Person
among those aged 15 to 74 who said they had experienced any type of violence in childhood\, how many percent of people said that they had experienced any two of the three maltreatment factors?,Simple,No skill,Person
among those aged 15 to 74 who said they had experienced any type of violence in childhood\, how many percent of people said they had experienced all three forms of violence?,Simple,No skill,Person
which club did hughes play for in 1995-96?,chelsea,Simple,No skill,Unknown
when did jupp heynckes become the manager of eintracht frankfurt?,1 july 1994,Simple,Filtering time,Date
which club did zlicic play for in 2016-17?,vojvodina,Simple,No skill,Unknown
how many league goals did rivera score for milan totally?,122.0,Simple,Aggregation;Counting,Number
how many percent of cannabis consumers who reported not paying have continued to report that they got at least some of their cannabis with family and friends in 2019 and in 2018\, respectively?,Composition,Negation;Superlative;Filtering numeric,Unknown
which source of cannabis by the highest spenders has decreased from 70.1% in 2018 to 62.0% in 2019?,illegal,Simple,Superlative,Unknown
how many percent of private incorporated businesses owned by immigrants were located in the kbi sector?,13.2,Simple,Counting,Number
how many percent of private incorporated businesses owned by the canadian-born were located in the kbi sector.,11.1,Simple,Counting,Number
among the primarily self-employed\, how many percent of immigrant businesses were in the kbi sector?,Simple,No skill,Person
among the primarily self-employed\, how many percent of canadian-born owned businesses were in the kbi sector?,Simple,No skill,Person
which industry has the largest shares of immigrant- and canadian-owned businesses among the primarily self-employed?,lessors of real estate,Intersection,Superlative,Person
which immigrant class has the highest relative rates of primary self-employment in knowledge-based industries?,economic,Simple,Superlative,Unknown
which immigrant class has the highest relative rates of primary self-employment in engineering and it industries?,economic,Intersection,Superlative,Unknown
how many percent of private incorporated companies owned by the economic class pas were in kowledge-based industries?,22.9,Simple,Counting,Number
what proportion of private incorporated companies owned by the economic class pas were in retail trade or food services.,18.6,Simple,Counting,Number
how many percent of the incorporated businesses owned by dependants of economic pas were in retail trade or food services?,21.9,Simple,Counting,Number
how many percent of the incorporated businesses owned by dependants of economic pas were in knowledge-based industries?,14.4,Simple,Counting,Number
list top three self-employment among economic class dependants.,<retail trade>\,Simple,No skill,Person
which group of people were more likely to report that they had been physically assaulted and sexually assaulted since age 15? sexual minority canadians with a disability or those who did not have a disability?,person with disability,Composition,Negation;Filtering time;Filtering entity,Person
which group of people are more likely to have experienced both types of violent victimization since age 15? sexual minority people who self-identified as indigenous those of non-indigenous sexual minorities.,indigenous person,Simple,Filtering time,Person
which gourp of people were more likely to have experienced an inappropriate behaviour in public? sexual minority canadians with a disability or those who did not have a disability?,person with disability,Composition,Negation;Filtering entity,Person
which group of people were more likely to have experienced an inappropriate behaviour while online? sexual minority canadians with a disability or those without a disability?,person with disability,Composition,Filtering entity,Person
which group of people are more likely to have experienced inappropriate behaviours online? indigenous sexual minorities or non-indigenous sexual minorities?,indigenous person,Simple,No skill,Person
what matches did dundee united competed in?,<spl>\,Simple,No skill,Unknown
how many receiving yards did ingram jr get in 2010?,282.0,Simple,Counting,Number
how many percent of bisexual women have reported that they had experienced an inappropriate behaviour in public?,76.4,Composition,Counting,Number
which group of sexual minorities has the highest proportion of reporting that they had experienced an inappropriate behaviour in public?,female gender,Composition,Superlative,Person
how many percent of all bisexual men have experienced unwanted behaviours online in the past 12 months.,40.3,Simple,Counting,Number
how many percent of all sexual minority canadians aged 15 and older have stated that their mental health was poor or fair?,32.1,Composition,Counting,Number
how many percent of bisexual canadians and gay or lesbian canadians\, respectively\,Simple,Counting,Unknown
how many percent of heterosexual canadians have reported poor or fair mental health?,10.7,Simple,Counting,Number
how many percent of sexual minority canadians have reported that they had been diagnosed with a mood or anxiety disorder?,41.1,Composition,Filtering entity;Counting,Number
how many percent of heterosexual canadians have reported a mood or anxiety disorder diagnosis.,16.4,Simple,Counting,Number
among sexual minorities\, how many percent of bisexual canadians have reported they had been diagnosed with a mood or anxiety disorder?,Simple,No skill,Person
how many percent of gay or lesbian canadians have reported a diagnosed mood or anxiety disorder?,29.6,Simple,Counting,Number
how many percent of those who were a sexual minority not elsewhere classified have reported a diagnosed mood or anxiety disorder?,40.9,Simple,Negation;Counting,Number
how many percent of heterosexual canadians have reported that they had seriously contemplated suicide at some point in their lives?,14.9,Composition,Counting,Number
how many percent of sexual minority canadians have reported that they had seriously contemplated suicide at some point in their lives?,40.1,Composition,Counting,Number
whichgroup of people is least likely to report that they had contemplated suicide?,heterosexual,Simple,Superlative,Unknown
which group of people has a higher proportion of people reporting that they had experienced physical or sexual assault in their lifetimes? transgender canadians or cisgender canadians?,transgender,Composition,No skill,Unknown
which group of people has a larger proportion of people reporting that they had experienced an unwanted sexual behaviour while in public in the 12 months? transgender canadians or cisgender canadians?,transgender,Composition,No skill,Unknown
which group of people were more likely to change their username or block others as a result of harassment they had experienced online? transgender or cisgender people?,transgender,Simple,No skill,Unknown
which club did fattori play for in 2015?,newell's old boys,Simple,No skill,Person
what was the passing rate that josh freeman got in 2013?,59.3,Composition,Counting,Number
which club did muggleton play for in 2016-17?,eastleigh,Simple,No skill,Unknown
how many goals did peter swan score in his career in the football league?,62.0,Simple,Counting,Number
in alberta's agricultural region 7\, which operating arrangement had more proportion\,Simple,No skill,Person
in alberta's agricultural region 7\, which operating arrangement had fewer proportion\,Simple,No skill,Person
which group of people were more likely to experience unwanted physical contact and suggestions that they do not act like a man or woman is supposed to act while at work? transgender canadians or cisgender canadians?,transgender,Composition,Negation,Unknown
what proportion of cisgender canadians has considered their mental health to be poor or fair?,11.3,Simple,Counting,Number
which group of people were much more likely to have a diagnosed mood or anxiety disorder? transgender canadians or cisgender canadians?,transgender,Simple,No skill,Unknown
which group of people were much more likely to have seriously contemplated suicide in their lifetimes? transgender canadians or cisgender canadians?,transgender,Simple,No skill,Unknown
of the women admitted to shelter facilities in 2013/2014\, how many percent of total admissions in canada were to transition homes?,Simple,No skill,Person
how many percent of total admissions in canada were to emergency shelters and women's emergency centres?,41,Intersection,Aggregation;Counting,Number
how many percent of total admissions in canada were to second-stage housing.,3.0,Simple,Aggregation;Counting,Number
how many of total admissions in canada were to other residential facilities.,6.0,Simple,Aggregation;Counting,Number
what are the top two common reasons women sought shelter?,<emotional abuse>\,Simple,No skill,Person
how many percent of women in shelters on the snapshot date have cited financial abuse as one of their reasons for seeking shelter?,38.0,Simple,Filtering time;Counting,Number
how many percent of women in shelters on the snapshot date cited threats as one of their reasons for seeking shelter?,36.0,Simple,Filtering time;Counting,Number
how many percent of women in shelters on the snapshot date cited harassment as one of their reasons for seeking shelter?,27.0,Simple,Filtering time;Counting,Number
how many percent of women in shelters on the snapshot date cited sexual abuse as one of their reasons for seeking shelter?,21.0,Simple,Filtering time;Counting,Number
how many percent of women in shelters on the snapshot date cited other abuse as one of their reasons for seeking shelter?,12.0,Simple,Filtering time;Counting,Number
on that snapshot date\, how many women have indicated human trafficking as a reason for seeking refuge?,Simple,Filtering time,Person
how many percent of women have identified wanting to protect their children from witnessing abuse?,26.0,Simple,Counting,Number
how many percent of women have identified wanting to protect their children from psychological abuse?,18.0,Simple,Counting,Number
how many percent of women have identified wanting to protect their children from physical abuse as one of their reasons for seeking shelter?,10.0,Simple,Counting,Number
how many percent of women have identified being unable to find affordable housing as one of their reasons for seeking shelter?,30.0,Simple,Counting,Number
how many percent of women have cited short-term housing problems as one of their reasons for seeking shelter?,17.0,Simple,Counting,Number
how many percent of women have reported housing emergencies as one of their reasons for seeking shelter?,10.0,Simple,Counting,Number
among all provinces and territories recorded in the table\, which province has the highest proportion unable to find affordable housing?,Simple,No skill,Person
on snapshot day\, which provinces or territories has the highest proportion of women residents with mental health issues?,Simple,No skill,Person
in canada\, how many women in shelters have dentified their abuser as a current or former spouse or common-law partner?,Simple,No skill,Person
in canada\, how many percent of women in shelters have identified their abuser as a current or former spouse or common-law partner?,Simple,No skill,Person
when the new method (√fsize) is used and the median is calculated for individuals rather than families\, what is the threshold for the cflim-at for 2015?,Intersection,Filtering time,Date
what is the cflim-at threshold for individuals when the old method is used?,$18\,Simple,Counting,Number
which club did signori play for in 1991-92?,foggia,Simple,No skill,Unknown
list the five countries that the brics summit consists of.,<brazil>\,Simple,No skill,Unknown
what was the rank of arizona?,6.0,Simple,Counting,Number
what was the number of apps made by stan palk in all competitions ?,169.0,Simple,Counting,Number
what was the result that nester geniwala'a got in the heat?,13.74,Composition,Counting,Number
in 2012\, what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was often true that food did not last and there was no money to buy more food during the past 12 months?,Simple,No skill,Person
in 2012\, what was the percentage of inuit aged 25 and over in inuit nunangat lived in a household where it was sometimes true that food did not last and there was no money to buy more food during the past 12 months?,Simple,No skill,Person
what was the percentage of inuit lived in a household where they or other household members cut the size of their meals or skipped meals because there was not enough money for food?,30.5,Composition,Negation;Difference,Number
among those who skipped meals or cut meal size\, what was the percentage of doing so almost every month?,Simple,No skill,Person
among those who skipped meals or cut meal size\, what was the percentage of skipping some months but not every month?,Simple,No skill,Person
what was the percentage of inuit reported eating less than they should because there was not enough money to buy food?,32.2,Simple,Negation;Comparative;Filtering numeric,Number
what was the percentage of inuit reported that\, in the previous 12 months\,Simple,No skill,Person
how many percent of wheeled mobility device users have reported help from family members in the same household?,65.3,Simple,Counting,Number
how many percent of wheeled mobility device users have reported help from family who lived elsewhere?,44.4,Simple,Difference;Counting,Number
how many percent of wheeled mobility device users were assisted by unpaid organizations/individuals?,35.4,Simple,Counting,Number
how many percent of wheeled mobility device users have paid for assistance?,27.0,Simple,Counting,Number
how many percent of all enterprises in 2008 have kept their 2008 size.,47.5,Simple,Counting,Number
how many percent of enterprises in 2008 have increased their size in 2014?,8.2,Simple,Counting,Number
how many percent of enterprises of 2008 in 2004 have decreased their size?,7.1,Simple,Counting,Number
how many percent of enterprises of 2008 in 2004 went to attrition.,37.3,Simple,Counting,Number
which sector has the lowest proportion of enterprises that went to attrition?,manufacturing,Composition,Superlative,Unknown
how many percent of 2008 enterprises are in manufacturing sector?,0.049823,Simple,Counting,Number
how many billion dollars did total s&e support to historically black colleges and universities (hbcus) decline for the third year in a row?,308.0,Intersection,Aggregation;Ordinal;Counting,Number
how many percentage points did total s&e support to historically black colleges and universities (hbcus) decline for the third year in a row down from fy 2016?,-0.174263,Intersection,Aggregation;Ordinal;Counting,Number
which club did bustos play for in 2015?,mumbai city,Simple,No skill,Person
how many goals did vic mobley score for wednesday totally?,8.0,Simple,Aggregation;Counting,Number
which enterprise size class in 2014 constitutes the largest proportion of enterprises in 2014 service sector that did not exist in 2008 service sector?,between 1 and 4,Composition,Negation;Superlative,Number
which province in canada had the highest rate of long-term job vacancy?,british columbia,Simple,Superlative,Person
what is the lowest long-term job vacancy rate?,0.11,Simple,Superlative,Number
list top 4 provinces or territories that could find most long-term job vacancies.,<ontario>\,Simple,Superlative,Unknown
in 2016\, what are the top two main industrial sectors that had the highest prevalence of long-term job vacancies?,Simple,No skill,Person
which main industrial sector has posted the highest long-term job vacancy rate?,professional\,Simple,Superlative,Unknown
which main industrial sector has the lowest long-term vacancy rate?,educational services,Simple,Superlative,Person
in 2016\, which workplace size has the highest prevalence of positions vacant for 90 days or more?,Simple,No skill,Person
what proportion of positions vacant for 90 days or more is in workplaces with 20 to 99 employees?,6.2,Composition,Filtering entity,Number
what proportion of positions vacant for 90 days or more is in workplaces with 100 to 499 employees.,9.1,Composition,Filtering entity,Number
what proportion of positions vacant for 90 days or more is in workplaces with less than 20 employees?,10.0,Composition,Comparative;Filtering numeric;Filtering entity,Number
which workplace size has the highest long-term vacancy rate?,less than 20 employees,Simple,Superlative,Person
in 2016\, how many percent of long-term job vacancies were positions for which the employer did not specify any educational requirements?,Simple,No skill,Person
how many percent of acancies for jobs requiring a bachelor's degree were long-term job vacancies?,15.2,Simple,Counting,Number
how many times of the proportion recorded among positions requiring a graduate degree is higher than the proportion recorded among positions with no educational requirements?,2.952381,Composition,Negation;Comparative;Filtering entity,Number
how many percent of vacancies for positions requiring at least eight years of experience had been vacant for 90 days or more?,17.5,Simple,Superlative;Filtering numeric;Counting,Number
in 2016\, what is the difference between employers were willing to pay $23.61 per hour on average to fill long-term vacancies and those with $19.63 for positions vacant for less than 90 days?,Simple,No skill,Person
in 2016\, list top two vacant positions among main industrial sectors that have the largest gaps between long-term job vacancies and other job vacancies.,Simple,No skill,Person
for having the largest gaps between long-term job vacancies and other job vacancies\, which sectors ranked fourth and sixth\,Simple,Superlative,Person
how many percentatge points did twenty higher education institutions receiving the largest amounts of federal s&e support account of all s&e support obligations by the federal government?,0.365104,Simple,Superlative;Counting,Number
for these 20 academic institutions\, how many percentage points of all federal fy 2017 s&e obligations were for r&d?,Simple,Filtering time,Date
for these 20 academic institutions\, how many percentage points of all federal fy 2017 s&e obligations were for fttgs?,Simple,Filtering time,Date
for these 20 academic institutions\, how many percentage points of all federal fy 2017 s&e obligations were for other s&e activities?,Simple,Filtering time,Date
for these 20 academic institutions\, how many percentage points of all federal fy 2017 s&e obligations were for r&d plant?,Simple,Filtering time,Date
how many receptions did kittle get in 2017?,43.0,Simple,Counting,Number
what was the weight of joshua bugajski?,96.4 kg,Simple,Counting,Number
what was the role that howard acted in gone with the wind (1939)?,ashley wilkes,Composition,Filtering entity,Person
what was louis hostin's result in press(kilos)?,102.5,Simple,Counting,Number
among canadian women aged 45 to 54 with a high school diploma or less\, how many percentage points of the rate has increased from 1997 to 2015?,Simple,Filtering entity,Date
among canadian women aged 45 to 54 with a college-level education\, how many percent of the rate has increased from 1997 to 2015?,Simple,Filtering entity,Date
in united states\, for women aged 45 to 54 with at most a high school diploma\,Simple,No skill,Person
how many times of the proportion of women aged 25 to 54 with a university degree has increased in canada from 1997 to 2015?,1.918033,Composition,Filtering entity;Counting,Number
in the united states\, what are the proportion of women aged 25 to 54 with a university degree in 1997 and in 2015 respectively?,Simple,Filtering time,Date
how many times of the proportion of canadian women aged 25 to 44 with a university degree have increased from 1997 to 2015?,2,Composition,Filtering entity;Counting,Number
which country has women aged 25 to 54 who were more likely to have a university degree in 1997? the united states or canada?,united states,Simple,No skill,Person
among all the age groups in 2014\, which age group has the largest proportion of people who were satisfied with their job?,Simple,No skill,Person
which occupational group was less likely to be satisfied with their job? individuals working in service and manufacturing occupations or those working in management occupations?,manufacturing and utilities,Composition,Filtering entity,Person
how many percent of both men and women have reported a high to a very high extent of control over the order of work\, respectively?,Intersection,Counting,Unknown
how many percent of both men and women reported a high or a very high extent of control over the hours of work\, respectively?,Intersection,Counting,Unknown
which group of people has a larger proportion of people reporting a high to a very high extent of control over how the work is done and the speed of work? men or women?,male,Intersection,No skill,Unknown
what proportion of individuals aged 18 to 24 and 55 to 64 respectively have reported a high to a very high extent of control over the order of work?,<33.2>\,Intersection,Counting,Number
what is the range of the perentages of those with no postsecondary educationless more likely to report a high to a very high extent of control over a facet of job flexibility than those with a degree at the bachelor's level or above?,<21.9>\,Composition,Negation;Filtering entity,Number
for men\, how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three of the four facets of job flexibility in lisa?,Simple,No skill,Person
for men\, how many percent of increasing in the probability of being satisfied with their job was associated controlling over all facets of job flexibility?,Simple,No skill,Person
for women\, how many percent of increasing in the probability of being satisfied with their job was associated with controlling over one or two facets of job flexibility.,Simple,No skill,Person
for women\, how many percent of increasing in the likelihood of being satisfied with their job was associated with having control over three or all four of the facets of job flexibility in lisa?,Simple,No skill,Person
what was the result that alwin muha got in the heat of the 400m event?,53.03 s,Composition,Counting,Number
how many goals did syracuse score in the 1979-80 season?,364.0,Simple,Counting,Number
which league did anas play for jamshedupr in the 2017-18 seaon?,indian super league,Simple,No skill,Person
in 2006-07 season\, which league did badhri move to?,Simple,No skill,Person
how many passes did derek cassidy complete in 2012?,48.0,Simple,Counting,Number
which division did sammy morgan play for fc groningen in 1979-80?,eerste divisie,Simple,No skill,Person
what was the percentage of individuals reported having taken a vitamin c-containing supplement in the previous month?,21.8,Simple,Counting,Number
what was the percentage of individuals drank fruit juice daily?,24.5,Simple,Counting,Number
what was the percentage of individuals ate citrus fruit daily?,16.0,Simple,Counting,Number
what was the mean plasma vitamin c concentration of canadians aged 20 to 79?,53.666667,Simple,Average,Number
what was the difference between users of vitamin c-containing supplements of mean concentrations and those of non-users?,20,Intersection,Average;Difference,Number
what was the prevalence of individuals were men?,49.8,Simple,Counting,Number
what was the prevalence of individuals were daily or occasional smokers?,20.0,Simple,Counting,Number
what was the prevalence of individuals were obese?,25.6,Simple,Counting,Number
which age group has the highest linkage rate of all age groups in 2011?,51 or over,Simple,Superlative,Person
what is the percentage of cases on average in each year show a difference between t1ff and t4 file of no more than one dollar between data sources?,94.808333,Intersection,Negation;Comparative;Filtering numeric,Number
what is the percentage of cases on average in each year show a difference between t1ff and t4 earnings of no more than one thousand dollars between data sources?,97.958333,Intersection,Negation;Comparative;Filtering numeric,Number
what is the percentage of canadians aged 15 or older with ms reported using one or more treatments?,82.5,Composition,Filtering entity,Number
what is the percentage of people who receive treatment chose to take medications?,83.7,Simple,Counting,Number
what is the percentage of people who receive treatment chose to use counselling?,27.0,Simple,Counting,Number
what is the percentage of people who receive treatment chose to use complementary medicine?,25.3,Simple,Counting,Number
what is the percentage of people who received treatment reported one type treatment strategy?,38.9,Simple,Counting,Number
what is the percentage of people who received treatment reported multiple treatment strategies?,61.1,Simple,Counting,Number
what was the w-l record in the regular season of phillies?,<169.0>\,Simple,Counting,Number
which club did rodgers play for in 2011?,new york red bulls,Simple,No skill,Person
in all multivariate models except the overweight population\, which gender had significantly lower vitamin c concentrations\,Simple,No skill,Person
which province has the largest declines?,alberta,Simple,Superlative,Unknown
which province has the second largest declines?,saskatchewan,Simple,Superlative;Ordinal,Unknown
what is the percentage of tumours of the same site reported in the ccr tumour file were selected as single primary cancer tumours?,0.973958,Simple,Counting,Number
which age group has the highest surgical rates?,50 to 69 years,Simple,Superlative,Number
what is the percentage of prostate cancer tumours received a surgical intervention?,31.0,Simple,Counting,Number
list the province or territory where 35% of prostate cancer tumours received a surgical intervention.,<newfoundland and labrador>\,Simple,No skill,Person
in all jurisdictions\,which age group has the highest rate of surgical intervention?,Simple,No skill,Person
list the province where the surgical rate is lowest and the number of the rate.,<prince edward island>\,Intersection,Superlative;Filtering entity;Counting,Person
list the province where the surgical rate is highest and the number of the rate.,<new brunswick>\,Intersection,Superlative;Filtering entity;Counting,Person
in fy 2017\, how many percentage points did five federal agencies account of all federal obligations for s&e support to hbcus?,Simple,No skill,Person
how many million dollars did hhs provide the most s&e support accounting of all federal hbcu obligations?,98150.1,Simple,Superlative;Counting,Number
how many percentage points did hhs which provided the most s&e support account of all federal hbcu obligations?,0.318781,Simple,Superlative;Counting,Number
how many thousand dollars did nsf provide thousand in s&e support?,78672.0,Simple,Counting,Number
how many percentage points did nsf which provided $79 million in s&e support account of all federal hbcu obligations?,0.255518,Simple,Counting,Number
how many thousand dollars did usda provide in s&e support?,74615.8,Simple,Counting,Number
