question,answer,question_type,skills,answer_type
What is the song Mundhinam Parthene?,The song Mundhinam Parthene was sung by Prashanthini for the movie Varanam Aayiram. It was composed by Harris Jayaraj.,Simple,No skill,Person
When and in which category was Ling Kai nominated for her first YES 933 Singapore Hit Award?,In the year 2014\,Intersection,Ordinal,Date
What are the provinces contained in the Walloon Region?,The Walloon Region contains five provinces: Hainaut\,Simple,No skill,Person
In which film/show did Sofia Vassilieva play as Eloise\, Ariel DuBois\,Simple,No skill,Person
In 2009\, what films did Ananya Chatterjee appear in?,Simple,No skill,Person
What was the first institute of medical sciences in India and when did it open?,The AIIMS New Delhi institution was the first institute of medical sciences in India when it was established in 1956.,Intersection,Ordinal,Date
Who directed the movie Naukari?,Naukari was a 1954 Bollywood film directed by Bimal Roy.,Simple,Filtering time,Date
Who are presidents of Lithuania in 1940?,In 1940\,Simple,Filtering time,Date
Which stadium among all Triple-A stadiums has the largest seating capacity?,The largest seating capacity among all Triple-A teams is Estadio de Béisbol Monterrey\,Simple,Superlative,Person
Who were the top 3 parties?,The top 3 parties were the Labor party\,Simple,No skill,Person
What was the game played in Varsity Stadium on August 15\, 1960\,Simple,Filtering time,Date
When were LaShauntea Moore 200 m and 100 m best\, and what were the times recorded?,Simple,Superlative,Person
Did Minnesota Amendment 2 pass?,Minnesota Amendment 2 was defeated with 53.84% voting against the measure and 46.16% voting for the measure.,Simple,No skill,Person
What is the 86th Guards Fighter Aviation Regiment equipped with between 1942 and 1943?,Between November 1942 and 1943\,Composition,Filtering entity,Date
Did Sophie's Herself win any award?,In 2002\,Simple,Filtering time,Date
What is Marie Fouquet name after?,One of the craters of Venus is named after Marie Fouquet.,Simple,No skill,Person
What was the change in the combined ratio of Lloyd's of London from 2017 to 2018?,Lloyd's of London combined ratio was 104.5 percent in 2018\,Simple,Filtering time,Date
When and where is Huracán broadcasted in Mexico?,On October 13\,Intersection,Filtering time,Date
How many times was Quintus Fabius Maximus Verrucosus in consul?,Quintus Fabius Maximus Verrucosus was consul five times: in 233\,Simple,Counting,Person
Who had the highest save percentage in the 2005 IIHF World U18 Championship Division III Qualification?,In the 2005 IIHF World U18 Championship Division III Qualification\,Simple,Superlative,Date
Which countries are included in the Netball Quad Series?,The Netball Quad Series was contested by the national teams of Australia\,Simple,No skill,Person
How did Matthieu Lecuyer perform when driving the Oreca 09?,Matthieu Lecuyer drove the Oreca 09 and finished third at both Silverstone and Imola.,Simple,No skill,Person
Which role did Stephanie Styles,In 2017\,Simple,Filtering time,Date
What is the result of the Indian cricket team in England in 1932?,England won by 158 runs after scoring 259 and 275/8d in the two innings while India were bowled out for 189 and 187.,Simple,No skill,Person
What lyrics did Jeff Ament and Gossard write respectively?,Bassist Jeff Ament wrote the lyrics for three songs on the album (Gods' Dice\,Simple,No skill,Person
What record did Viktor Saneyev (URS) make?,Saneyev made a new record of 17.39 m (57 ft ¹⁄₂ in) in the final on 17 August.,Simple,Filtering time,Date
How did Kenza Tazi perform for Morocco at the 2014 Winter Olympics?,Representing Morocco at the 2014 Winter Olympics\,Simple,Filtering time,Date
What are songs produced by Tyrone on a Reminisce album\, Baba Hafusa?,Simple,No skill,Person
What are the films and languages where Mahesh Muthuswami acted in 2010.,In 2010\,Composition,Filtering time,Date
How does West Indies' score compare to that of England's?,West Indies reached 245\,Composition,No skill,Person
What is the best selling console game?,Super Mario 64 is one of the best selling games during fifth generation of video game consoles\,Simple,Superlative,Person
What two continents have the smallest populations?,Oceania has the second-smallest population\,Simple,Superlative,Person
Did any mayors serve disjoint terms?,Samuel Nicholas Smallwood was the fifth and seventh mayor of Washington\,Simple,No skill,Person
Who performed Amor Ferido?,In 2007\,Simple,Filtering time,Date
How many runs did India lead by and with what total score?,India led by 313 runs\,Composition,Aggregation;Filtering entity;Counting,Person
What bitrates do the AMR codecs use?,The AMR codec uses eight codecs with bit-rates of 12.2\,Simple,No skill,Person
How well did coaches do at the Kent State Golden Flashes baseball in 1916 and 1922?,Alf Loval recorded a win as a coach of the Kent State Golden Flashes baseball in the 1916 season and Paul Chandler led to a 3–0 record in 1922.,Intersection,Filtering time,Date
What happened to the role of Color commentator in 2011?,In 2011\,Simple,Filtering time,Date
When and where did Anandan Gunasekaran get Gold in the 200m?,Anandan Gunasekaran won the Gold medal in the 200m event in 2018 in Panchkula.,Composition,Filtering time,Date
What ambassador role and when did Helgi Pálson Briem serve?,Helgi Pálson Briem was Ambassador of Iceland to Yugoslavia from 29 April 1953 to 28 December 1960.,Simple,Filtering time,Date
When and with which club and league did Tine Schryvers begin her club career?,Tine Schryvers signed with Vålerenga in 2016\,Simple,Filtering entity,Date
By how much did Benigo Fitial win his 2005 Gubernatorial Election?,Benigno Fitial defeated independent candidate Heinz Hofschneider and Republican Juan Babauta during the 2005 gubernatorial election with 28.1 percent of the vote.,Simple,Filtering time,Date
What's the result of the second round?,Bohuslav Sobotka won in the second round when he received 304 votes\,Simple,Ordinal,Person
What is the first university to be founded in Germany after Heidelberg\, Leipzig and Rostock?,Simple,Comparative;Ordinal;Filtering time,Person
Which cyclecars did Eric Longden make with a wheelbase of 2489?,Eric Longden's both four-cylinder versions had a wheelbase of 2489 mm.,Composition,Filtering entity,Date
What were Myron Cowen's accomplishments during the years 1948 and 1949?,Myron M. Cowen was appointed as the US Ambassador to Australia from 1948 to 1949.,Simple,Filtering time,Date
What happened to the production volume of the Chevrolet Corvette in 1966?,In 1966 Chevrolet Corvette's volume rose to 27\,Simple,Filtering time,Date
How did the proportion of second class honors awarded change between 1995 and 2011?,Between 1995 and 2011\,Simple,Ordinal,Date
What values of the Hubble constant were found by the Planck Mission and the Hubble Space Telescope?,The Planck mission published in 2018 indicated a value of 67.66±0.42 and in 2019\,Intersection,Filtering time,Date
Where did In 2007\, the Col de l'Iseran in stage 9 start from?Where did the Col de l'Iseran in stage 9 start from?,Simple,No skill,Person
Which labels released Leichenschrei before 1983?,Leichenschrei was released in 1982 on Thermidor Records in the United States and in 1983 on Side Effekts label in the United Kingdom.,Simple,Comparative;Filtering time,Date
How were West Indies dismissed against England in 1984?,West Indies were dismissed for 245 in the first-innings\,Simple,No skill,Person
What was the destructive power of the U-238 convoy?,U-238 sunk 2 ships which are Theodore Dwight Weld and Frederick Douglass.,Simple,No skill,Person
How did Guthrie perform in the 1997 Phoenix 200?,In the 1997 Phoenix 200\,Simple,Filtering time,Date
Who was the most successful 2007 College Football Hall of Fame coach?,John Cooper had the most wins\,Simple,Superlative;All,Person
What does the Don River Railway run on?,The railway also runs a number of diesel locomotives numbered V2\,Simple,No skill,Person
How big was the first phase of line 3?,Line 3's first phase has 16 stations\,Simple,Ordinal,Person
Which ships were completed?,Cöln and Dresden\,Simple,No skill,Person
How long did V Rama Rao serve as governor?,V Rama Rao served as governor of Sikkim from 2002-2007.,Simple,Filtering time,Date
Which games did Paraguay win or get a draw in the 2002 FIFA World Cup and by how much?,Paraguay won over Slovenia by 3–1 in Seogwipo and had drawn 2–2 in their opening game of 2002 FIFA World Cup against South Africa in Busan.,Intersection,Filtering time,Date
How much did the Steel Phantom drop and what was the speed it reached?,The Steel Phantom dropped 225 feet (69 m)\,Simple,No skill,Person
How did Gower play during his One Day Internationals throughout his career?,Gower played 114 One Day Internationals (ODI) scoring 3\,Simple,No skill,Person
How did Vardon\, Renouf\,Simple,No skill,Unknown
What conclusions did Hendry make about whether the identified and unidentified cases were unknowns (UFOs)?,Out of 1\,Simple,No skill,Person
Who was Togia-Pulu-toaki and when did he come to power?,Togia-Pule-toaki was the eighth and possibly final patu-iki of Niue\,Simple,No skill,Person
When and where were the two latest drop towers installed and what model and speed could they reach?,The two latest drop towers\,Composition,Superlative,Person
What changed in power and torque between 1968-1981 for the M30B25?,Power remained unchanged at 110 kW (148 bhp)\,Intersection,No skill,Person
What major partners run the 3 large oil sands mining operations in the area\, and among them which is owned by Shell Canada\,Simple,No skill,Person
What happened between The Melbourne Ice and Melbourne Mustangs in 2018?,At 19:30 of May 11\,Simple,Filtering time,Date
What were the release dates and labels for Gala in each country?,Gala was released in the United States on 13 November 1990 on 4AD/Reprise Records\,Intersection,Filtering time,Date
What are the top speed and acceleration for the Volkwagen Up 115 PS version?,The Volkswagen Up 115 PS version has a top speed of 119 mph (192 km/h) in 8.8 seconds.,Simple,No skill,Person
Which best selling singles sold 6.6 million copies?,Umbrella\,Simple,Superlative,Unknown
What positions and places did Nigh serve in Oklahoma?,Nigh served as the 17th and the 22nd Governor of Oklahoma and as the 8th and 10th Lieutenant Governor of Oklahoma.,Simple,No skill,Person
What was the largest alliance in the 11th Parliament of Sri Lanka?,The People's Alliance became the largest alliance in the 11th Parliament of Sri Lanka by winning 107 of the 225 seats.,Simple,Superlative,Person
What was the outcome of the 2004 Slovak early parliamentary elections referendum?,The 2004 Slovak early parliamentary elections referendum was approved by 87.9% of those voting\,Simple,Filtering time,Date
What roles and when has Sarla Grewal served in Madhya Pradesh?,Sarla Grewal was the Governor of Madhya Pradesh from 1989–1990.,Intersection,Filtering time,Date
By what margin did the Constitutional Amendment pass?,Voters passed the Constitutional Amendment by a margin of 53.84% to 46.16%.,Simple,No skill,Person
When was Muhammadu Maccido the Sultan of Sokoto?,Muhammadu Maccido was the Sultan of Sokoto from 20 April 1928 to 29 October 2006.,Simple,Filtering time,Date
What are Staple's works prior to signing with Flicker Records?,Staple released an album Staple and Staple EP independently before signing to Flicker Records in 2004.,Composition,Filtering entity,Date
How popular was the The McLeod's Daughters season finale in 2007?,The McLeod's Daughters season finale rose to 1.207 million viewers\,Simple,No skill,Person
What is The Story of Natural Drugs mural?,The Story of Natural Drugs by the Thomas Jefferson League was a Native American-themed mural at the University of Illinois at Chicago Medical Center\,Simple,No skill,Person
What was Neal Tiemann's first single as a lead guitarist?,Tiemann's first single as a lead guitarist was Light On in 2008 off the album David Cook.,Simple,Ordinal,Date
When is Espósito's debut in television show?,Espósito first television appearance was in Rincón de Luz in 2003 as Malena Coco Cabrera.,Simple,Filtering time,Date
Before traveled across the globe to Tokyo\, London\,Simple,No skill,Unknown
What songs did Norma Jean Martine write in 2014?,In 2014\,Simple,Filtering time,Date
How did Republicans perform in the 2008 election compared to the previous one?,In Livingston Parish\,Simple,No skill,Person
When has Martin won the Australian Drivers' Championship?,Martin's two Australian Drivers' Championship victories\,Simple,No skill,Person
What were some battleship and light cruisers involved in the Omaha Beach bombardment?,The Omaha Beach bombardment force consists of Texas\,Simple,No skill,Person
What is released in 1998?,In 1998\,Simple,Filtering time,Date
How many times did Arnold Schwarzenegger win Mr. Olympia?,In 1970\,Simple,Counting,Date
Which teams were competing for the Stanley Cup in the 2013-14 NHL season?,The Los Angeles Kings won the Stanley Cup\,Simple,No skill,Person
Who appointed James M. Love to a seat on the United States District Court for the District of Iowa and who did James M. Love replace?,James M. Love received an appointment from Franklin Pierce on October 5\,Intersection,Filtering time,Date
What singles came from the album Red River Blue and what were their peak charting positions?,Blake Shelton's album Red River Blue contains four number 1 singles: Honey Bee\,Simple,No skill,Person
Who won the 1889 Open Championship and what was their score?,Andrew Kirkaldy and Willie Park\,Simple,No skill,Person
Who is the champion of the 1993 Italian Superturismo Championship?,The 1993 season of the Italian Superturismo Championship was won by Ravaglia in a BMW 318i.,Simple,Filtering time,Date
What awards has Peter Rabbit won?,In 2018\,Simple,Filtering time,Date
When was the album released in each format and by which label?,The album was released in Japan on 2011\,Intersection,Filtering time,Date
What is the horse power of the Chevrolet C/K engines through the years?,The Chevrolet C/K engines were a 160 hp (119 kW) 4.3 L V6\,Simple,No skill,Person
Did Lee H. Katzin and Paul Michael Glaser vie for the same award?,Directors Lee H. Katzin and Paul Michael Glaser both vied for 1985's Outstanding Directing for a Drama Series award.,Simple,Filtering time,Date
How well did UDD performed during the year 2005 in their work for Up Dharma Down and Armi Millare?,In 2005\,Intersection,Filtering time,Date
How did France and Sweden do in the Eurovision Song Contest 2001,France came in 4th with 142 points and in 5th place was Sweden with 100 points in Eurovision Song Contest 2001.,Simple,Filtering time,Date
How large is Great Barrier Island?,Great Barrier Island is the sixth-largest island with an area of 285 square kilometres\,Simple,No skill,Person
Of the 17 NPCs that competed in the 1964 Summer Paralympics\, which country ranked number 1\,Simple,No skill,Person
What year did the Zhengzhou Open was first held as an ITF tournamenrvand when did it transition to a WTA type tournament?,The Zhengzhou Open has been held since 2014\,Simple,Ordinal,Date
Which countries are hosts of the SAFF Women's Championship?,The SAFF Women's Championship hosts are Bangladesh\,Simple,No skill,Person
What are two airplanes that were used by Air Saint-Pierre in the past?,The Air Saint-Pierre used Beechcraft Model 18 and Hawker Siddeley HS 748.,Composition,No skill,Person
What were Anoop's first four films?,After making Niranjana Anoop's debut in Yasagan (2014)\,Simple,Ordinal,Date
What works did Marcia Mitzman Gaven appear in between 1994 and 1996?,Gaven made appearances in The Red Planet (1994)\,Simple,Filtering time,Date
What were Helen Hunt's successes from 1994 to 1996?,Helen Hunt won the award for Funniest Female Performer in a TV Series (Leading Role) Network\,Simple,No skill,Person
What exactly happened to Class 310 and Class 312 trains?,Class 310 and Class 312 trains were in the process of withdrawal at privatisation.,Simple,No skill,Person
Which reserve was managed by the National Trust in 1912?,Blakeney Point is managed by National Trust since 1912 and is a nature reserve in the North Norfolk Coast Site of Special Scientific Interest.,Simple,Filtering time,Date
How's French Guiana's GDP compare to that of metropolitan France in 2017?,In 2017\,Composition,Filtering time,Date
How many medals did Antonis Aresti win and for what event?,Antonis Aresti won two silver medals in the Men's 200m T46 and Men's 400m T46 with times of 22.15 seconds and 48.87 seconds respectively.,Simple,Counting,Person
How to compare Eee Top ET 1602 and 1603 in terms of graphics processor?,The Eee Top ET 1602 has integrated Intel GMA 950 graphics processor\,Intersection,Filtering time,Date
How is Friuli divided amongst its provinces?,Friuli is subdivided among the provinces of Udine with a land area of 4\,Simple,No skill,Person
What is participation for 2018?,2018 saw 32\,Simple,Filtering time,Date
Aside from Hinduism\, what are the biggest religions in Mehsana?,Simple,No skill,Person
What station will be the last N line build in 2020?,The N Line will be build to the Eastlake/124th Avenue Station with an opening in 2020.,Simple,Ordinal,Date
Who is the latest Miss World Nicaragua?,The latest Miss World Nicaragua is María Teresa Cortez from Carazo.,Simple,Superlative,Person
How many tests\, ODIs did Gargi Banerji play\,Simple,Counting,Person
What were the turnout and results for the 1969 Danish electoral age referendum?,The 1969 Danish electoral age referendum was rejected by 78.6% of voters with a turnout of 63.6%.,Simple,Filtering time,Date
What was Emmanuel Eboué's record for Arsenal during his time in the club?,From 2005 to 2011\,Simple,Filtering time,Date
Did Reshma Rathore win any awards in her film career?,Reshma Rathore was awarded Best Confident Face of The Year in 2012 for the movie Ee Rojullo and also nominated for 2nd South Indian International Movie Awards for best Female Debutant in the same year.,Simple,Filtering time,Date
When was the BRP Bacolod City and BRP Dagupan City commissioned into the Navy?,The first unit\,Simple,Filtering time,Person
What awards did Portland's Brodie Merrill win during the 2006 NLL Season?,Portland's Brodie Merrill won both the Defensive Player of the Year and Rookie of the Year awards.,Simple,No skill,Person
When did Woods receive the National Book Award and for what work?,In 1981\,Intersection,Filtering time,Date
What were the two most recent shootings in New Zealand?,The Christchurch mosque shootings attacks were the first shootings in New Zealand since the Raurimu massacre in 1997.,Simple,Superlative,Date
Whose record did Cal Ripken surpass to play the most consecutive games in Major League Baseball history?,Ripken surpassed Lou Gehrig\,Simple,Superlative,Person
Where is the 4A championship played?,The 4A championship was played between champion Bishop Gorman and Del Sol at Sam Boyd Stadium.,Simple,No skill,Person
How does twenty foot compare to cubic feet for 1 TEU?,The twenty-foot has a volume range of 680 to 1\,Simple,No skill,Person
Who scored the most points and who finished the week with the highest score?,Arshad Ke Punters scored the most points\,Composition,Superlative;Filtering entity,Person
In the 1842 Wallachian princely election\, which candidate won and by how many votes?,Simple,No skill,Person
Was Patricia Green nominated for an Emmy Award in 1991?,Patricia Green was nominated for an Emmy Award for writing in 1991 for her work on the L.A. Law episode\,Simple,Filtering time,Date
When was the last time that Porto wins the Portuguese Handball League Cup?,In 2008\,Composition,Ordinal;Filtering time,Date
What proportion of seats were won by the MPLA in the 1986 Angolan legislative election?,In the 1986 Angolan legislative election\,Simple,Filtering time,Date
How did Thiago Pereira get sub-2 in the long course (50 meter pool)?,Thiago Pereira broke the South American record two more times\,Simple,No skill,Person
When did Aaron Craft win the Division I Men's Basketball Academic All-America Team Member of the Year?,Aaron Craft is the 2012-13 and 2013-2014 Division I Men's Basketball Academic All-America Team Member of the Year.,Simple,Filtering time,Date
What novels did Connelly write in 1999-2000?,Michael Connelly wrote Angels Flight (1999) featuring Bosch before writing Void Moon (2000) featuring Cassie Black.,Simple,Filtering time,Date
What single did Matraca Berg have in 1995 that was released by Patty Loveless?,Berg's 1995 song\,Composition,Filtering time,Date
Which Uyghur detainees at Guantanamo Bay were released and transferred to Palau?,On October 31\,Intersection,Filtering time,Date
What is the Israeli Cassini Soldner known as ICS coordinate?,The Israeli Cassini Soldner known as ICS coordinate is: E 172249 and N 1131586.,Simple,No skill,Person
What was the racial makeup of Portland during the year 2000?,The racial makeup of the Portland was 91.27% White\,Simple,No skill,Person
What was the winning party and what was the proportion of votes they won in this election?,FDP.The Liberals1 won with 41 of the 115 seats.,Intersection,No skill,Person
When was the 2017 Sea Star festival\, and how many attended?,Simple,Filtering time,Person
What is the city of license for call sign CBF-4 on 1140 AM in Canada?,Matagami\,Simple,No skill,Unknown
What are the longest caves in Bulgaria and what are their lengths?,The longest caves in Bulgaria are Duhlata (18\,Simple,Superlative,Person
Where was the Chrysalis album first released as the edition Désirs contraires?,The Chrysalis album Désirs contraires edition was first released in France by Columbia Records on 2 October 2000.,Simple,Ordinal,Date
How many votes did the Workers' Liberation Front get in 2016 and 2017?,In 2016 The Party Workers' Liberation Front had 622 votes\,Simple,Counting,Date
What are some awards Aneek Dhar has won?,Aneek Dhar won Zee TV Sa Re Ga Ma Pa Challenge 2007 and Zee Bangla SaReGaMaPa both in the same year.,Simple,Filtering time,Date
What years did Jean Deschenes run for the Progressive Conservative Party and for what division?,Jean Deschênes was the Progressive Conservative Party's candidate for Bellechasse in the 1979 and 1980 federal elections.,Intersection,Filtering time,Date
When was Colțea București in third place in Romanian Football Championship?,Colțea București was in third Place in Romanian Football Championship: 1915–16 and 1919–20.,Simple,Ordinal;Filtering time,Date
Which events did the boys and girls participate in\, respectively?,Intersection,No skill,Unknown
What stations does the Chemmozhi express train run between?,Chemmozhi express (Train Nos 16615/16616) is a train runs daily between Coimbatore Junction and Mannargudi.,Simple,No skill,Person
What were the Ohio area codes in 1947?,In 1947\,Simple,Filtering time,Date
What was the largest Arab American ethnic group in 2000?,In 2000\,Simple,Superlative,Date
What were the results of California's 2000 proposition 36?,In 2000\,Simple,Filtering time,Date
What kind of radar was being designed in the USA\, Ireland\,Simple,No skill,Unknown
What films did Robert Benton contribute to in the years 1967\, 1977 and 1994?,Simple,Filtering time,Date
What is the power rating for the BMW N53 N53B30 engine?,The BMW N53 version N53B30 engine produces 160 kW (215 bhp) at 6\,Simple,No skill,Person
How many spectators attended the 2017 Copa del Rey de Baloncesto semi-final match between Baskonia and Real Madrid\, and when did the match take place?,Intersection,Counting,Person
When was Hearn appointed as Canada's ambassador to Ireland\, and who did she replace?,Simple,Filtering time,Person
When did the final of the 1979–80 KNVB Cup take place\, and who won?,Simple,No skill,Person
What is the range of caches for Pentium Pro's L2?,Pentium Pro's L2 cache ranged from 256 KiB to 1 MiB.,Simple,No skill,Person
When did Ubuntu MATE put out a non LTS-release?,Ubuntu MATE 17.10 was a non-LTS release that was released on October 19th\,Simple,No skill,Person
What is the largest red diamond in the world and what does it weigh?,The largest red diamond in the world is the Moussaieff Red Diamond\,Simple,Superlative,Person
How many games have the Cardinals played in their entire history?,The Louisville Cardinals\,Simple,Counting,Person
Which season of Smallville performed the best during it's airing?,Over ten seasons the Smallville averaged\,Simple,Superlative,Person
What high school football teams competed in the PIAA?,567 high school football teams competing in the Pennsylvania Interscholastic Athletic Association's (PIAA) 12 Districts.,Simple,No skill,Person
What were Pavel Pegov's world record times in the 500 m?,On the 25th of March\,Simple,No skill,Person
What were the types and numbers of aircraft lost by the USAF during Operation Linebacker II?,Overall US Air Force losses were fifteen B-52s\,Intersection,No skill,Person
What is the second largest and largest religion in Kerala?,Islam is the second largest practised religion in Kerala (26.56%) next to Hinduism.,Simple,Superlative;Ordinal,Person
How popular was the Arignar Anna Zoo in the years 2010-2011 and 2006-2007?,Arignar Anna Zoological Park received 1\,Simple,No skill,Person
What was Winston's record of yards and passes in the 2014 BCS National Championship Game?,In the 2014 BCS National Championship Game\,Intersection,Filtering time,Date
Did Lunar Orbit Insertion change the orbit of Chandrayaan-1 on November 8 or 9?,Lunar orbit insertion reduced the periselene to 200 km while aposelene remained unchanged at 7\,Simple,No skill,Person
What were the outcomes of the first two games the Turbo Chargers played in 2002?,The Turbo Chargers won over Coca-Cola by 90-82 on 17 February and won against Sta.Lucia with a 95-76 score on 21 April in the Governor's Cup.,Simple,Ordinal,Date
Did Canada or France score better?,The Canadians snatched the bronze with a composite score of 97.357\,Simple,No skill,Person
When did Humphrey H. Leavitt get appointed\, by whom\,Simple,No skill,Person
How many was Australia all out for?,Australia was all out for 463 against India.,Simple,Counting,Person
What is the Seattle's population change of whiles from 1940\, 1970\,Simple,Filtering time,Date
Who was the second person to earn the King of the Cage Light Heavyweight Champion\, and where was he from?,Simple,Ordinal,Person
What were the LSWR O2 class numbers betwen 1889 and 1894?,The LSWR numbers were a series of numbers between 177 and 236.,Simple,No skill,Person
What are the largest islands?,The three largest islands are Java in Indonesia\,Simple,Superlative,Person
How did Everton F.C. do against Manchester United and Tottenham Hotspur during their 2012-13 season?,Everton F.C. won over Manchester United in the first game of the season with 1–0\,Intersection,No skill,Person
How does the number of people with a university credential compare between the total and indigenous population of Ontario?,30.7% of people in Ontario have a university credential compared with 11.8% of Indigenous people in Ontario.,Composition,Aggregation;Filtering entity;Counting,Person
When and with what songs did Steel Breeze make it onto the US Hot 100?,Steel Breeze made the US Hot 100 with You Don't Want Me Anymore in 1982\,Simple,Filtering entity,Date
Which two films are the two highest-grossing animated films in China?,The film\,Simple,Superlative,Person
When was Monaxius praetorian prefect of the East?,Monaxius was praetorian prefect of the East between 10 May and 30 November 414 and also between 26 August 416 and 27 May 420.,Simple,Filtering time,Date
What and when was the lowest attendance for a 2007 Vandals game\, and how did it compare to attendance on October 13?,Intersection,Superlative;Filtering time,Date
What happened to Rashmika Mandanna immediately after their Telugu debut?,Rashmika Mandanna starred in the Telugu film titled Geetha Govindam in 2018 immediately after their Telugu Debut in the Telugu film titled Chalo.,Simple,Comparative;Filtering time,Date
How did the Cuba women's national volleyball team do in the 1978 World Women's Volleyball Championship?,The Cuban women's national volleyball team won the 1978 World Women's Volleyball Championship.,Simple,Filtering time,Date
When and where was the 1996 SANFL Grand Final played\, and what was the capacity of the crowd?,Intersection,No skill,Person
Who has had the most consecutive wins in the Cross Country Cycling Classic?,Aston Gill had the most consecutive wins\,Composition,Superlative,Person
From what number to what number has the Taxable services increased ?,The number of Taxable services increased from 3 to 119.,Simple,No skill,Person
How many points did Bahamontes win the mountains classification with\, and how close was the second place competitor?,Simple,Counting,Person
What channels do ABS-CBN Manila have and what are their frequencies?,In ABS-CBN Manila\,Simple,No skill,Person
What were the new area codes for the five cities running low on available phone numbers?,Newly allocated numbers for Leeds is (0113)\,Simple,Filtering time,Date
How many sets did the 733 series consist of and what were the sets numbered as ?,The 733 series consists of 21 sets\,Simple,Counting,Person
When was the Mercedes-Benz 300 SL produced?,The Mercedes-Benz 300 SL W 198 was produced from 1954 to 1963.,Simple,Filtering time,Date
What year did Vikram win his second Filmfare Awards South Best Actor award and for which film?,In 2003\,Intersection,Superlative;Ordinal,Date
What local bus routes does NJ Transit provide?,NJ Transit provides local bus service on the 722 and 744 routes.,Simple,No skill,Person
Who was the American League leader for batting average\, home runs and RBIs\,Simple,No skill,Person
At the 1981 World Outdoor Bowls Championship\, who won each category?,Simple,No skill,Person
Who holds the men's and women's records for the Norseman triathlon?,The Norseman triathlon record is 09:52:10 by Lars Christian Vold of Norway in 2017 for men and 12:04:18 by Anne Nevin of Norway in 2017 for women.,Simple,Filtering time,Date
What is the molecular weight and isoelectric point of the Zinc Finger Protein 800 in Homo Sapiens?,The Zinc Finger Protein 800 has a molecular weight of 75\,Intersection,No skill,Person
What were Max Park's times for the 6x6x6?,Park set a 1 minute\,Simple,No skill,Person
Who won the series in 2013 and 2014?,The title of World Champion returned to the Thule Adventure Team at Costa Rica in 2013\,Simple,Filtering time,Date
In which all Presbyterian church locations did J. Vernon McGee serve?,J. Vernon McGee served Presbyterian churches in Decatur\,Simple,No skill,Person
