question,answer
What are the power and engine discrepancies in the 3.0 L supercharged model?,"In Range Rover (L405), Supercharged 3.0 L V6 engine develops 340 PS (250 kW; 335 hp) or 380 PS (279 kW; 375 hp)."
"During his six seasons at CSKA Sofia, how many goals and matches did Hristo Yanev score and play at the club?","Hristo Yanev spent six seasons of his career at the CSKA Sofia, playing in 146 games and scoring 54 goals."
"In which production was Noel Comia Jr. cast as ""Jeremy Potts"" at the Newport Performing Arts Theater in Resorts World Manila in 2017?","In 2017, Noel Comia Jr. was cast as ""Jeremy Potts"" in production of ""Chitty Chitty Bang Bang"" at the Newport Performing Arts Theater in Resorts World Manila."
Who wrote Exo’s 2015 single “Love Me Right”?,Courtney Jenaé wrote Exo’s 2015 single “Love Me Right”.
What nomination did Kelly Thornton receive at the 2013 Galway Film Fleadh?,"Thornton earned an IFTA nomination, and received the Bingham Ray New Talent Award at the 2013 Galway Film Fleadh."
What was the second single from Approved and when did it air on canadian rock radio stations?,"In 2011, the second single from the album Approved—""Yo Hello Hooray (Everyday)"" aired on Canadian rock radio stations."
"Which Crystal kay album sold 87,669 copies in one year and what year did this amount of copies sell?","In 2009, the ""Best of Crystal Kay"" has sold 87,669 copies."
Where did Javier Méndez playin 2013 and 2014 before joining Rentistasin 2015?,"Méndez joined Cerro in the 2013–14 Primera División season, prior to joining Cerro Largo."
In what year did Syracuse win its first national championship and against what opponent?,"In 1959, Syracuse earned national championship Cotton Bowl victory over Texas."
What role did Gray Haddock play in the movie Tekken?,"In 1998, Gray Haddock played the role of Lei Wulong in Tekken: The Motion Picture."
How fast did Becker finish in the 4x100 m relay at the World Championships?,Becker finished the 4x100 m relay final in 43.01 at the World Championships.
"What many candidates did LDP, Komeito, Kibo, and Ishin field in the 2017 general election?","The LDP fielded 332 candidates, while Komeito fielded 53, Kibō fielded 235 and Ishin fielded 52."
Who were the winners of the Vezina Trophy and what season did they win them?,"Parent and Hextall account for two of the three Flyers goaltenders to win the Vezina Trophy, Parent in 1973–74 and 1974–75, Pelle Lindbergh in 1984–85, and Hextall in 1986–87."
What were Liza Weil's roles in the Gilmore Girls franchise?,Weil starred as Paris Geller in the series Gilmore Girls (2000–2007) and Gilmore Girls: A Year in the Life (2016).
How did each of the teams in second to sixth place perform at the 2009 NCAA Women's Gymnastics Championship?,"2009 NCAA Women's Gymnastics Championships were followed by Alabama with 197.575 points, Utah with 197.425 points, Florida with 196.725 points, Arkansas with 196.475 points and LSU with 196.375 points at the Super Six Team Finals."
"Who succeeded James Hyde as Principal of Hertford College, Oxford in 1681?","In 1681 William Levett was the Principal of Magdalen Hall at Oxford, succeeding James Hyde."
What series and system have the base at the same time as that of the Asselian stage?,The base of the Asselian stage is at the same time the base of the Cisuralian series and the Permian system.
"How many copies were sold to give “Ocean"" number two at the weekly Oricon Singles Chart on June 12th 2003?","""Ocean"" landed at number two on the weekly Oricon Singles Chart by selling 140,872 copies."
How many WPs were built between 1947 and 1966 and what were their numbers?,"A total of 755 WPs were built between 1947 and 1966, bearing numbers 7000 to 7754."
Were the Texas Rollergirls beaten between 2009 and 2012?,"In 2010, the Kansas City Roller Warriors beat the Texas Rollergirls at Amber Waves of Pain in Lincoln, Nebraska."
In what year did did Fink release the track Perfect Darkness?,"In 2011, the track ""Perfect Darkness"" was released."
What bitrates do the AMR codecs use?,"The AMR codec uses eight codecs with bit-rates of 12.2, 10.2, 7.95, 7.40, 6.70, 5.90, 5.15 and 4.75 kbit/s."
What was the majority vote for Roderic Bowen to be elected and which party did he defeat?,"Roderic Bowen was elected with a majority of 2,219 votes over Labour."
What year was the final single from Unapologetically realeased and what was it called?,"The final single from Unapologetically, ""Miss Me More"", was released in 2018."
