question,sparql
Who received two Tony Awards for her role in Waitress and Carousel?,select distinct ?obj where [ dbr:Q22929 dbo:award_received ?obj . ?obj dbo:award_received dbo:Tony_Awards ]
Which is the sequel to the 2008 film Iron Man and which number is it in the Marvel Cinematic Universe list?,select distinct ?uri where [ ?uri dbr:Q484848 dbo:followed_by ?uri . ?uri dbo:followed_by ?uri ]
"How many seats do The Perth Wildcats have 14,846 seats at Perth Arena?",select ?obj where [ dbr:the_while_wildcats dbo:seats ?obj . ?obj dbo:seats ?obj ]
What was Toby Wynn's result in his first year at Emporia State?,select distinct ?uri where [ ?uri dbr:Toby_ Wynn dbo:replaced_by ?uri ]
When was Rogers the Mayor of Plymouth?,select distinct ?uri where [ dbr:Rogers dbo:position_held ?uri ]
What honor did Masakazu Imanari achieve twice by defeating Tatsunao Nagakura and Yoshiro Maeda?,select distinct ?uri where [ ?uri dbr:Masakazu_Imanari dbo:award_received ?uri ]
What are the power and engine discrepancies in the 3.0 L supercharged model?,select distinct ?sbj where [ ?sbj wdt:model wd:3.0_l_supercharged . ?sbj rdf:power &_engine ]
"During his six seasons at CSKA Sofia, how many goals and matches did Hristo Yanev score and play at the club?",select ?obj where [ dbr:Hristo_Yanev dbo:point_in_time ?obj . ?obj dbo:point_in_time ?obj ] order BY DESC(?obj)limit 5
"In which production was Noel Comia Jr. cast as ""Jeremy Potts"" at the Newport Performing Arts Theater in Resorts World Manila in 2017?",select ?obj where [ dbr:Noel_Comia_Jr. dbo:cast_member ?obj . ?obj dbo:cast_member dbo:Jeremy_Pots ]
Who wrote Exo’s 2015 single “Love Me Right”?,select distinct ?sbj where [ ?sbj wdt:author wd:exo’s_2015_single . ?sbj wdt:instance_of wd:Q485959 ]
What nomination did Kelly Thornton receive at the 2013 Galway Film Fleadh?,select distinct ?obj where [ dbr:Krystal_Tronton dbo:nominated_for ?obj . ?obj dbo:nominated_for dbo:Fleadh dbo:2013_Galway_Film ]
What was the second single from Approved and when did it air on canadian rock radio stations?,select distinct ?sbj where [ ?sbj wdt:airline wd:canadian_rock_radio_station ]
"Which Crystal kay album sold 87,669 copies in one year and what year did this amount of copies sell?",select distinct ?uri where [ ?uri dbr:Crystal_Kakay_Album dbo:number_of_copys ?uri . ?uri dbo:number_of_copys ?uri ]
Where did Javier Méndez playin 2013 and 2014 before joining Rentistasin 2015?,select ?obj where [ dbr:javier_méndez dbo:played_in ?obj . ?obj dbo:played_in dbo:2013_and_2014_before_membering dbr:Rentistasin_2015 ]
In what year did Syracuse win its first national championship and against what opponent?,select ?value where [ dbr:Syracuse dbo:national_championship ?value ]
What role did Gray Haddock play in the movie Tekken?,select distinct ?obj where [ dbr:Q22929 dbo:played_in ?obj . ?obj dbo:played_in dbo:film ]
How fast did Becker finish in the 4x100 m relay at the World Championships?,select ?value where [ dbr:Benbecker p:relay ?value ]
"What many candidates did LDP, Komeito, Kibo, and Ishin field in the 2017 general election?",select distinct ?obj where [ dbr:2017_general_election dbo:field_of_publication ?obj . ?obj dbo:field_of_publication dbo:field_of_publication ]
Who were the winners of the Vezina Trophy and what season did they win them?,select distinct ?sbj where [ ?sbj wdt:winner wd:Vesepa_Trope . ?sbj wdt:season wd:Q484848 ]
What were Liza Weil's roles in the Gilmore Girls franchise?,select distinct ?uri where [ ?uri dbr:liza_weil dbo:rolle ?uri ]
How did each of the teams in second to sixth place perform at the 2009 NCAA Women's Gymnastics Championship?,select distinct ?obj where [ dbr:2009_intercollegiate_women's_gymnastic_championship dbo:team_in_second_to_sixth_place ?obj ]
"Who succeeded James Hyde as Principal of Hertford College, Oxford in 1681?",select ?obj where [ dbr:James_Hyde dbo:position_held ?obj . ?obj dbo:position_held ?obj ]
What series and system have the base at the same time as that of the Asselian stage?,select distinct ?sbj where [ ?sbj wdt:base wd:asselian_stage ]
"How many copies were sold to give “Ocean"" number two at the weekly Oricon Singles Chart on June 12th 2003?",select ?obj where [ dbr:Ocean_number_two dbo:weekly_Oricon_Singles_Chart dbo:volume ?obj ] order BY DESC(?obj)limit 5
How many WPs were built between 1947 and 1966 and what were their numbers?,select ?obj where [ dbr:WP dbo:built_between_1947_1966 ?obj ] order BY DESC(?obj)limit 5
Were the Texas Rollergirls beaten between 2009 and 2012?,ask where [ dbr:Texas_Rollgirls dbo:beaten_by ?obj filter(?obj = 2009) ]
In what year did did Fink release the track Perfect Darkness?,select distinct ?sbj where [ ?sbj wdt:track wd:Perfect_Darkness . ?sbj wdt:release ?sbj ]
What bitrates do the AMR codecs use?,select distinct ?uri where [ ?uri dbr:AMR_codecs dbo:bitrate ?uri ]
What was the majority vote for Roderic Bowen to be elected and which party did he defeat?,select distinct ?uri where [ ?uri dbr:Roderic_Boben dbo:majority_vote ?uri ]
What year was the final single from Unapologetically realeased and what was it called?,select ?value where [ dbr:Unapologetically dbo:final_single ?value ]
