Top 1 Topic,Top 1 Score,Top 2 Topic,Top 2 Score,Top 3 Topic,Top 3 Score,Entities,Original Question
Sports,0.9625,Science and Technology,0.1034,Society,0.0193,"4x100, Becker, the World Championships",How fast did Becker finish in the 4x100 m relay at the World Championships?
Political,0.9797,Culture,0.5535,Society,0.407,"Komeito, Kibo, 2017, LDP, Ishin","What many candidates did LDP, Komeito, Kibo, and Ishin field in the 2017 general election?"
Sports,0.8851,Science and Technology,0.2507,Culture,0.2425,the Vezina Trophy,Who were the winners of the Vezina Trophy and what season did they win them?
Media and Entertainment,0.9752,Culture,0.2896,Society,0.0451,Liza Weil's,What were Liza Weil's roles in the Gilmore Girls franchise?
Sports,0.9729,Culture,0.0428,Society,0.0138,"2009, NCAA Women's Gymnastics Championship, sixth, second",How did each of the teams in second to sixth place perform at the 2009 NCAA Women's Gymnastics Championship?
Education,0.8632,Culture,0.7917,Society,0.541,"1681, Principal, Hertford College, Oxford, James Hyde","Who succeeded James Hyde as Principal of Hertford College, Oxford in 1681?"
Media and Entertainment,0.7333,Culture,0.2909,Warfare and Conflict,0.2456,Asselian,What series and system have the base at the same time as that of the Asselian stage?
Media and Entertainment,0.8098,Culture,0.5568,Business and Economic,0.1784,"two, Oricon Singles Chart, June 12th 2003, weekly, Ocean","How many copies were sold to give “Ocean"" number two at the weekly Oricon Singles Chart on June 12th 2003?"
Culture,0.6487,Science and Technology,0.5789,Environmental,0.5301,between 1947 and 1966,How many WPs were built between 1947 and 1966 and what were their numbers?
Sports,0.8694,Media and Entertainment,0.5946,Culture,0.5417,"Texas, Rollergirls, between 2009 and 2012",Were the Texas Rollergirls beaten between 2009 and 2012?
Media and Entertainment,0.8846,Art,0.1928,Political,0.1092,"what year, Perfect Darkness",In what year did did Fink release the track Perfect Darkness?
Culture,0.3753,Healthcare and Medicine,0.34,Art,0.318,AMR,What bitrates do the AMR codecs use?
Political,0.891,Culture,0.8148,Society,0.6244,Roderic Bowen,What was the majority vote for Roderic Bowen to be elected and which party did he defeat?
Media and Entertainment,0.8814,Culture,0.376,Warfare and Conflict,0.1457,Unapologetically,What year was the final single from Unapologetically realeased and what was it called?
