question,sparql,obj_values,error
"among the first nations household population, what was the percentage of the probability of living to age 75 for males in 2011?",SELECT ?obj WHERE { dbr:first_nations_family_population dbo:proportion_of_the_occurrence_of_living_to_age_75 ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
"when educational attainment and income adequacy were taken into account, what was the hazard ratio for dying from avoidable causes for first nations cohort women?",SELECT ?value WHERE { dbr:first_nations_Cohort_Folk dbo:hazard_Rast ?value },empty,
what the number of high-school educated by 2010?,SELECT ?obj WHERE { dbr:high-school dbo:educated_at ?obj . ?obj dbo:inception ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
what is the percentage of increases in the csi were also recorded in edmonton in 2015?,SELECT ?obj WHERE { dbr:Csi dbo:proportion ?obj . ?obj dbo:proportion ?obj },empty,
"which type of adults had lower levels of education and income, non-aboriginal or first nations?",SELECT distinct ?uri WHERE { ?uri dbr:type_of_adults ?v1 . ?v1 dbo:educated_at ?uri . ?uri dbo:income ?uri },empty,
what was the percentage of all businesses in canada reported no change in revenues?,SELECT distinct ?uri WHERE { ?uri dbr:publication_of_businesses_in_canadian ?v1 . ?v1 dbo:number_of_revenues ?uri },empty,
what the percent of senior caregivers reported that they had received support for their caregiving duties from at least one of the nine sources?,SELECT ?value WHERE { dbr:Q484848 dbo:reported_from ?value },empty,
"in 2008, what was the u.s. total million dollars?",SELECT ?obj WHERE { dbr:U . S . _Total_Million_$ dbo:total_Million_$ ?obj },,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: syntax error at '.' before 'S'  SPARQL query: #output-format:application/sparql-results+json SELECT ?obj WHERE { dbr:U . S . _T…"
"on snapshot day, which provinces or territories has the highest proportion of women residents with mental health issues?",SELECT ?ent WHERE { ?ent dbo:instance_of dbo:province_or_territorial_Province . ?ent dbo:portion_of_residents ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
"accounting for inflation, how many percent did total expenditures on policing in canada rise in 2016?",SELECT ?obj WHERE { dbr:policing_in_canadian dbo:total_expensions_for_policing ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
how many percentage point of people in nova scotia used radio?,SELECT distinct ?uri WHERE { ?uri dbr:Radio ?v1 . ?v1 dbo:population ?uri },empty,
what types of medication were women treated for hypertension less likely to report using than treated men?,SELECT distinct ?uri WHERE { ?uri dbr:treatment_method dbo:drug_used_for_treatment dbo:risk ?uri },,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: syntax error at 'dbo:risk' before '?uri'  SPARQL query: #output-format:application/sparql-results+json SELECT distinct ?uri WHE…"
how many times was the victimization rate of people who stated that they used drugs during the month preceding the survey than non-users?,SELECT ?value WHERE { dbr:Non-User dbo:victimization_rate ?value },empty,
"what is the percentage of older boys rated their general health as ""very good"" or ""excellent""?",SELECT distinct ?sbj WHERE { ?sbj wdt:grade wd:general_health . ?sbj rdf:educated_at wd:very_good_or_excellent_health },,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: Undefined namespace prefix in prefix:localpart notation at 'wdt:grade' before 'wd:general_health'  SPARQL query: #output-format…"
what percentage of people of working age (15 to 64 years) reported having a disability?,SELECT ?value WHERE { dbr:Q22929 dbo:publication_date ?value },empty,
what is the percentage of hurricanes risk in prince edward island in 2014?,SELECT ?obj WHERE { dbr:Boyaren_Edward_Insel dbo:risk ?obj },empty,
"over the period, what was the proportion of economic principal applicants who had middle-level earnings ($20,000 to $50,000) in 2018?",SELECT ?obj WHERE { dbr:economic_principal_recipient dbo:income ?obj },empty,
how many percent do dod account of all federal r&d obligations to industrial performers?,SELECT distinct ?obj WHERE { dbr:industrial_artiste dbo:dodd_count ?obj },empty,
how much did parental education now accounted for of the overall gap in 1999?,SELECT ?obj WHERE { dbr:parent_education dbo:present_in_time ?obj . ?obj dbo:present_in_time ?obj },empty,
how many passing yards did warren smith get in 2015?,SELECT ?obj WHERE { dbr:warren_smith dbo:passing_yard ?obj . ?obj dbo:passing_yard ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
"with $4.5 billion reported in 2015/2016, what is the percentage of the rcmp accounted for total police operating expenditures in the country?",SELECT ?obj WHERE { dbr:Rcmp dbo:total_police_operating_Expeditions ?obj . ?obj dbo:total_police_operating_Expeditions ?obj } ORDER BY DESC(?obj) LIMIT 5,empty,
what percentage of people of all territories who reported not having used drugs in the month preceding the survey?,SELECT ?obj WHERE { dbr:Q22929 dbo:population ?obj . ?obj dbo:population ?v1 . ?v1 dbo:population ?obj },empty,
what is the percentage of decedents who were hospitalized in their last year of life received inpatient pc consultation in ontario?,SELECT ?value WHERE { dbr:decedent dbo:hospitalized_in_last_year_of_life dbo:hospitalized_inpatient_pc_consultation_in_ontario },empty,
"using the 10 employee threshold with the 2014 brdis data would increase the u.s. innovation rates for the total of all industries, how many percent for product or process innovations?","SELECT ?value WHERE { dbr:Q22929 p:innovation_rate ?s . ?s ps:innovation_rate ?v1 . ?v1 ?x filter(contains(?x,'2014')) . ?s pq:determination_method ?value }",,"HTTP 400: Virtuoso 37000 Error SP030: SPARQL compiler, line 2: Undefined namespace prefix in prefix:localpart notation at 'p:innovation_rate' before '?s'  SPARQL query: #output-format:applic…"
"sexual jokes were the most common unwanted sexualized behaviour personally experienced by students in the postsecondary setting, how many percent of women?",SELECT distinct ?uri WHERE { dbr:Sex_Wiki dbo:personally_experienced_by_students ?v1 . ?v1 dbo:personally_experienced_by_students ?uri },empty,
which club did zlicic play for in 2016-17?,SELECT distinct ?obj WHERE { dbr:zlicic dbo:member_of_sports_team ?obj . ?obj dbo:member_of_sports_team ?v1 . ?v1 dbo:start_time ?obj },empty,
"what percentages of men and women, respectively, were not secondary school graduates?",SELECT distinct ?uri WHERE { ?uri dbr:Q22929 ?v1 . ?v1 dbo:educated_at ?uri },empty,
by what percentage would families who did not own their principal residence miss a non-mortgage payment?,SELECT distinct ?uri WHERE { ?uri dbr:non-mortgage_payment ?v1 . ?v1 dbo:family ?uri },empty,
which club did egzon binaku play for in 2015?,SELECT distinct ?obj WHERE { dbr:egzon_binaku dbo:member_of_sports_team ?obj . ?obj dbo:member_of_sports_team ?v1 . ?v1 dbo:start_time ?obj },empty,
"in 2013, what is the rate of the nunavut had police-reported drug offence?",SELECT ?obj WHERE { dbr:Nunavut dbo:rate ?obj . ?obj dbo:political_reported_drug_offence dbo:year_period },empty,
