label,count,parent,id
shows,34,what,what/shows
was,34,which,which/was
the,34,how/was,how/was/the
finished,33,who,who/finished
dollars,33,how/many,how/many/dollars
city,33,which,which/city
film,33,what,what/film
has,33,which/team,which/team/has
has,33,which/year,which/year/has
venue,32,what,what/venue
rank,32,what,what/rank
of,32,which,which/of
scored,32,who,who/scored
the,32,are,are/the
movies,31,what,what/movies
name,31,which,which/name
score,31,which,which/score
the,31,which/is,which/is/the
record,31,what,what/record
school,31,what,what/school
episode,31,which,which/episode
percentage,31,what/the,what/the/percentage
score,30,what,what/score
films,30,which,which/films
did,30,what/place,what/place/did
laps,30,how/many,how/many/laps
competition,30,what,what/competition
a,30,who/had,who/had/a
team,30,which/home,which/home/team
the,30,who/has,who/has/the
has,30,which/opponent,which/opponent/has
competition,30,which,which/competition
location,30,which,which/location
school,30,which,which/school
film,29,which,which/film
week,29,which,which/week
millions,29,how/many,how/many/millions
did,29,which/year,which/year/did
song,28,what,what/song
countries,28,how/many,how/many/countries
song,28,which,which/song
has,28,which/venue,which/venue/has
team,28,which/away,which/away/team
songs,28,what,what/songs
division,28,which,which/division
one,27,which,which/one
district,27,what,what/district
event,27,which,which/event
tournament,27,what,what/tournament
place,27,which,which/place
role,27,which,which/role
of,27,which/sector,which/sector/of
years,26,which,which/years
game,26,which,which/game
round,26,what,what/round
college,26,what,what/college
is,25,how/long,how/long/is
has,25,which/score,which/score/has
had,25,which/team,which/team/had
did,25,what/movies,what/movies/did
is,25,what/country,what/country/is
had,25,which/country,which/country/had
receiving,25,how/many,how/many/receiving
has,24,which/name,which/name/has
two,24,in/which,in/which/two
very,24,is,is/very
album,24,what,what/album
does,24,how,how/does
a,24,which/has,which/has/a
roles,24,which,which/roles
years,23,in/what,in/what/years
does,23,where,where/does
week,23,what,what/week
language,23,which,which/language
area,23,which,which/area
film,23,in/what,in/what/film
of,23,what/number,what/number/of
award,23,which,which/award
engine,23,what,what/engine
in,23,when/and,when/and/in
name,23,what,what/name
percentages,23,how/many,how/many/percentages
did,22,which/division,which/division/did
number,22,what/episode,what/episode/number
has,22,when,when/has
far,22,how,how/far
is,22,how/much,how/much/is
teams,22,what,what/teams
game,22,what,what/game
model,22,which,which/model
how,22,by,by/how
was,22,which/date,which/date/was
location,22,what,what/location
did,22,which/films,which/films/did
came,22,who,who/came
was,22,what/team,what/team/was
city,22,in/what,in/what/city
did,22,which/role,which/role/did
does,22,what,what/does
awards,22,which,which/awards
record,22,which,which/record
dates,21,what,what/dates
league,21,what,what/league
nationality,21,what,what/nationality
did,21,what/event,what/event/did
were,21,when,when/were
acres,21,how/many,how/many/acres
and,21,which/league,which/league/and
college,21,which,which/college
received,20,who,who/received
rank,20,which,which/rank
were,20,which,which/were
the,20,where,where/the
gold,20,how/many,how/many/gold
was,20,what/day,what/day/was
county,20,what,what/county
score,20,what/is,what/is/score
show,20,what,what/show
and,20,where,where/and
did,20,what/day,what/day/did
teams,19,what/two,what/two/teams
has,19,which/record,which/record/has
events,19,what,what/events
had,19,which/year,which/year/had
rate,19,is/the,is/the/rate
contestants,19,how/many,how/many/contestants
movie,19,what,what/movie
stages,19,how/many,how/many/stages
they,19,did,did/they
does,19,what/position,what/position/does
is,19,when,when/is
less,19,who/were,who/were/less
is,19,what/city,what/city/is
has,19,which/province,which/province/has
total,19,which,which/total
were,19,where,where/were
there,18,are,are/there
has,18,what/date,what/date/has
has,18,what/country,what/country/has
has,18,which/position,which/position/has
held,18,who,who/held
rounds,18,how/many,how/many/rounds
s,18,who,who/s
the,18,which/was,which/was/the
were,18,how/many,how/many/were
the,18,what/does,what/does/the
did,18,which/roles,which/roles/did
athlete,18,which,which/athlete
has,17,which/tournament,which/tournament/has
stadium,17,which,which/stadium
single,17,what,what/single
class,17,which,which/class
has,17,which/region,which/region/has
series,17,which,which/series
numbers,17,how/many,how/many/numbers
drivers,17,how/many,how/many/drivers
opponent,17,what,what/opponent
teams,17,which,which/teams
three,17,what,what/three
result,17,which,which/result
listed,17,what/is,what/is/listed
titles,17,how/many,how/many/titles
the,17,who/held,who/held/the
entries,16,how/many,how/many/entries
a,16,what/was,what/was/a
the,16,which/were,which/were/the
is,16,how,how/is
had,16,which/province,which/province/had
albums,16,what,what/albums
federal,16,did,did/federal
character,16,what,what/character
hours,16,how/many,how/many/hours
proportion,16,what,what/proportion
successful,16,how,how/successful
has,16,which/result,which/result/has
silver,16,how/many,how/many/silver
candidate,16,which,which/candidate
was,16,which/year,which/year/was
not,16,did,did/not
did,16,what/time,what/time/did
the,16,which/of,which/of/the
in,16,who/came,who/came/in
has,16,what/score,what/score/has
nationality,16,which,which/nationality
when,16,where/and,where/and/when
incidents,16,how/many,how/many/incidents
did,16,what/percentage,what/percentage/did
had,16,which,which/had
did,16,what/songs,what/songs/did
was,16,which/team,which/team/was
total,16,is/the,is/the/total
is,15,what/date,what/date/is
countries,15,which,which/countries
company,15,what,what/company
are,15,where,where/are
character,15,which,which/character
county,15,which,which/county
police,15,how/many,how/many/police
round,15,which,which/round
defeated,15,who,who/defeated
race,15,what,what/race
nation,15,what,what/nation
succeeded,15,who,who/succeeded
a,15,who/has,who/has/a
did,15,what/film,what/film/did
date,15,what/is,what/is/date
chassis,15,what,what/chassis
average,15,what,what/average
was,15,what/award,what/award/was
had,15,which/region,which/region/had
airport,15,which,which/airport
stadium,15,what,what/stadium
away,15,what,what/away
players,15,which,which/players
record,15,what/is,what/is/record
number,15,which,which/number
nominations,15,what,what/nominations
has,15,which/season,which/season/has
series,15,what,what/series
did,15,what/college,what/college/did
large,14,how,how/large
did,14,what/shows,what/shows/did
was,14,how/much,how/much/was
films,14,in/what,in/what/films
had,14,what/year,what/year/had
title,14,what,what/title
was,14,how/successful,how/successful/was
show,14,which,which/show
did,14,what/record,what/record/did
did,14,what/season,what/season/did
city,14,in/which,in/which/city
copies,14,how/many,how/many/copies
of,14,what/proportion,what/proportion/of
had,14,which/player,which/player/had
tries,14,how/many,how/many/tries
the,14,where/does,where/does/the
three,14,which,which/three
days,14,how/many,how/many/days
losses,14,how/many,how/many/losses
an,14,what/was,what/was/an
is,14,what/year,what/year/is
had,14,which/season,which/season/had
language,14,what,what/language
took,14,who,who/took
and,14,what/club,what/club/and
the,13,how/does,how/does/the
has,13,what,what/has
team,13,what/away,what/away/team
month,13,in/what,in/what/month
state,13,which,which/state
weeks,13,how/many,how/many/weeks
the,13,does,does/the
genre,13,what,what/genre
did,13,what/show,what/show/did
was,13,what/awards,what/awards/was
replaced,13,who,who/replaced
company,13,which,which/company
has,13,which/rank,which/rank/has
more,13,is/very,is/very/more
singles,13,how/many,how/many/singles
tv,13,what,what/tv
circuit,13,what,what/circuit
highest,13,what,what/highest
films,13,in/which,in/which/films
matches,13,what/the,what/the/matches
season,13,in/what,in/what/season
singles,13,which,which/singles
group,13,which/language,which/language/group
individuals,13,how/many,how/many/individuals
driver,13,what,what/driver
had,12,which/date,which/date/had
won,12,which/party,which/party/won
first,12,how/many,how/many/first
has,12,which/group,which/group/has
for,12,what/shows,what/shows/for
medals,12,how/many,how/many/medals
the,12,where/are,where/are/the
positions,12,how/many,how/many/positions
youth,12,how/many,how/many/youth
the,12,who/scored,who/scored/the
has,12,what/team,what/team/has
region,12,what,what/region
all,12,what/are,what/are/all
had,12,which/tournament,which/tournament/had
did,12,which/years,which/years/did
attendance,12,which,which/attendance
tv,12,which,which/tv
season,12,in/which,in/which/season
category,12,what,what/category
the,12,when/is,when/is/the
are,12,how/many,how/many/are
did,12,what/nominations,what/nominations/did
had,12,which/group,which/group/had
par,12,which/to,which/to/par
to,12,which,which/to
has,12,which/location,which/location/has
nominations,12,how/many,how/many/nominations
lowest,12,what,what/lowest
students,12,how/many,how/many/students
is,12,which/player,which/player/is
winners,12,how/many,how/many/winners
drove,12,who,who/drove
in,12,who/was,who/was/in
viewers,12,how/many,how/many/viewers
label,12,what,what/label
is,12,how/large,how/large/is
songs,12,how/many,how/many/songs
is,12,which/country,which/country/is
did,12,what/events,what/events/did
was,12,what/player,what/player/was
title,12,which,which/title
the,12,where/were,where/were/the
did,12,which/season,which/season/did
appeared,12,who,who/appeared
was,12,what/party,what/party/was
surface,12,which,which/surface
races,12,how/many,how/many/races
had,11,what/country,what/country/had
old,11,how,how/old
very,11,is/very,is/very/very
class,11,what,what/class
placed,11,who,who/placed
became,11,who,who/became
entrant,11,which,which/entrant
of,11,which/region,which/region/of
on,11,what/is,what/is/on
has,11,how/long,how/long/has
income,11,which,which/income
athletes,11,how/many,how/many/athletes
was,11,which/one,which/one/was
and,11,which/club,which/club/and
total,11,what,what/total
money,11,how/much,how/much/money
television,11,what,what/television
many,11,by/how,by/how/many
singles,11,what,what/singles
surface,11,what,what/surface
canadians,11,how/many,how/many/canadians
a,11,who/was,who/was/a
fast,11,how,how/fast
match,11,which,which/match
period,11,which,which/period
events,11,how/many,how/many/events
district,11,which,which/district
engine,11,which,which/engine
was,11,what/position,what/position/was
show,11,in/what,in/what/show
channel,11,what,what/channel
country,11,in/what,in/what/country
did,11,which/medal,which/medal/did
medal,11,which,which/medal
did,11,what/teams,what/teams/did
tournaments,11,how/many,how/many/tournaments
player,11,what/is,what/is/player
single,11,which,which/single
race,11,which,which/race
was,11,which/player,which/player/was
has,11,which/attendance,which/attendance/has
category,11,which,which/category
adults,11,how/many,how/many/adults
1st,11,which,which/1st
points,11,which,which/points
is,11,what/position,what/position/is
has,11,what/player,what/player/has
awards,11,how/many,how/many/awards
did,10,what/country,what/country/did
competitions,10,what,what/competitions
in,10,what/happened,what/happened/in
places,10,how/many,how/many/places
effective,10,how,how/effective
tall,10,how,how/tall
did,10,what/album,what/album/did
did,10,which/awards,which/awards/did
members,10,how/many,how/many/members
is,10,what/district,what/district/is
s,10,which/year,which/year/s
locations,10,how/many,how/many/locations
ships,10,how/many,how/many/ships
sacks,10,how/many,how/many/sacks
as,10,what,what/as
more,10,is,is/more
did,10,what/movie,what/movie/did
division,10,what,what/division
of,10,how/much,how/much/of
series,10,how/many,how/many/series
quintile,10,which/income,which/income/quintile
is,10,which/team,which/team/is
name,10,is/the,is/the/name
state,10,what,what/state
deaths,10,how/many,how/many/deaths
university,10,what,what/university
network,10,which,which/network
ship,10,which,which/ship
poles,10,how/many,how/many/poles
released,10,who,who/released
records,10,what,what/records
schools,10,how/many,how/many/schools
there,10,when,when/there
film,10,in/which,in/which/film
dates,10,how/many,how/many/dates
is,10,what/county,what/county/is
much,10,by/how,by/how/much
and,10,what/roles,what/roles/and
medal,10,what,what/medal
does,10,what/team,what/team/does
has,10,which/city,which/city/has
lowest,10,is/the,is/the/lowest
did,10,what/rank,what/rank/did
served,10,who,who/served
agricultural,10,which,which/agricultural
was,10,which/league,which/league/was
first,10,which,which/first
won,10,what/party,what/party/won
format,10,what,what/format
region,10,which/agricultural,which/agricultural/region
is,10,what/nationality,what/nationality/is
sum,10,what,what/sum
got,10,who,who/got
has,10,what/year,what/year/has
away,10,when/the,when/the/away
track,10,which,which/track
venue,10,in/what,in/what/venue
percentage,10,how/much,how/much/percentage
cma,10,which,which/cma
was,10,which/gender,which/gender/was
a,10,when/has,when/has/a
has,10,which/driver,which/driver/has
is,10,what/team,what/team/is
interceptions,10,how/many,how/many/interceptions
average,10,which,which/average
agencies,10,did/federal,did/federal/agencies
number,10,is/the,is/the/number
did,9,what/race,what/race/did
home,9,what/is,what/is/home
the,9,when/were,when/were/the
model,9,what,what/model
events,9,which,which/events
artist,9,which,which/artist
home,9,how/many,how/many/home
political,9,which,which/political
passengers,9,how/many,how/many/passengers
was,9,how/effective,how/effective/was
women,9,how/many,how/many/women
university,9,which,which/university
had,9,what/competition,what/competition/had
percentages,9,what,what/percentages
was,9,what/tournament,what/tournament/was
has,9,which/county,which/county/has
did,9,how/many,how/many/did
was,9,which/episode,which/episode/was
sport,9,what,what/sport
has,9,which/club,which/club/has
cd,9,which,which/cd
had,9,which/cd,which/cd/had
the,9,who/s,who/s/the
has,9,which/nationality,which/nationality/has
titles,9,which,which/titles
average,9,is/the,is/the/average
time,9,which,which/time
it,9,did,did/it
2nd,9,which,which/2nd
had,9,which/sex,which/sex/had
sets,9,how/many,how/many/sets
made,9,who,who/made
work,9,what,what/work
had,9,what/season,what/season/had
runs,9,how/many,how/many/runs
miles,9,how/many,how/many/miles
big,9,how,how/big
did,9,which/album,which/album/did
did,9,what/competitions,what/competitions/did
was,9,how/old,how/old/was
has,9,which/event,which/event/has
country,9,what/is,what/is/country
did,9,which/country,which/country/did
is,9,what/player,what/player/is
was,9,what/engine,what/engine/was
did,9,what/character,what/character/did
has,9,which/sector,which/sector/has
has,9,which/type,which/type/has
counties,9,how/many,how/many/counties
power,9,how/much,how/much/power
won,9,which/country,which/country/won
more,9,who/had,who/had/more
is,9,what/party,what/party/is
was,9,what/round,what/round/was
bronze,9,how/many,how/many/bronze
the,9,how/is,how/is/the
team,9,what/is,what/is/team
network,9,what,what/network
a,9,is,is/a
did,9,what/school,what/school/did
totals,8,how/many,how/many/totals
was,8,which/position,which/position/was
attended,8,how/many,how/many/attended
part,8,what,what/part
any,8,did,did/any
has,8,which/school,which/school/has
high,8,who/had,who/had/high
overall,8,how/many,how/many/overall
much,8,is,is/much
higher,8,is/much,is/much/higher
in,8,which/club,which/club/in
episode,8,what/number,what/number/episode
the,8,how/many,how/many/the
not,8,who/were,who/were/not
led,8,who,who/led
frequency,8,which,which/frequency
billion,8,how/many,how/many/billion
results,8,how/many,how/many/results
rate,8,what/the,what/the/rate
draws,8,how/many,how/many/draws
stations,8,how/many,how/many/stations
against,8,which,which/against
premier,8,which,which/premier
did,8,which/position,which/position/did
has,8,which/nation,which/nation/has
meters,8,how/many,how/many/meters
teams,8,which/two,which/two/teams
all,8,who/are,who/are/all
competitions,8,how/many,how/many/competitions
constructor,8,which,which/constructor
was,8,which/song,which/song/was
than,8,is/more,is/more/than
in,8,who/is,who/is/in
recognition,8,what,what/recognition
event,8,in/which,in/which/event
competition,8,in/which,in/which/competition
listed,8,who/is,who/is/listed
of,8,what/sum,what/sum/of
state,8,in/what,in/what/state
partner,8,which,which/partner
other,8,which,which/other
values,8,how/many,how/many/values
total,8,what/is,what/is/total
holds,8,who,who/holds
a,8,which/had,which/had/a
pick,8,which,which/pick
the,8,who/holds,who/holds/the
clubs,8,what,what/clubs
has,8,which/total,which/total/has
in,8,who/appeared,who/appeared/in
river,8,which,which/river
circuit,8,which,which/circuit
joined,8,who,who/joined
television,8,which,which/television
grams,8,how/many,how/many/grams
championship,8,which,which/championship
had,8,what/team,what/team/had
reported,8,who,who/reported
did,8,what/song,what/song/did
floors,8,how/many,how/many/floors
make,8,did/he,did/he/make
river,8,what,what/river
channel,8,which,which/channel
country,8,in/which,in/which/country
venue,8,in/which,in/which/venue
for,8,when/and,when/and/for
has,8,what/name,what/name/has
home,8,what,what/home
has,8,which/place,which/place/has
close,8,how,how/close
team,8,what/home,what/home/team
and,8,what/awards,what/awards/and
inuit,8,how/many,how/many/inuit
did,8,what/single,what/single/did
net,8,how/many,how/many/net
is,8,what/place,what/place/is
territory,8,which,which/territory
has,8,which/series,which/series/has
has,8,what/position,what/position/has
has,8,which/state,which/state/has
other,8,how/many,how/many/other
proportion,8,is/the,is/the/proportion
homicides,8,how/many,how/many/homicides
did,8,what/albums,what/albums/did
candidates,7,which,which/candidates
has,7,which/against,which/against/has
is,7,how/far,how/far/is
did,7,which/character,which/character/did
was,7,which/album,which/album/was
types,7,what,what/types
is,7,what/school,what/school/is
of,7,what/types,what/types/of
town,7,what,what/town
has,7,which/territory,which/territory/has
play,7,did/he,did/he/play
movies,7,which,which/movies
result,7,what,what/result
parish,7,what,what/parish
was,7,what/time,what/time/was
match,7,what,what/match
owns,7,who,who/owns
the,7,who/owns,who/owns/the
series,7,in/what,in/what/series
round,7,in/what,in/what/round
was,7,how/close,how/close/was
movie,7,in/what,in/what/movie
combined,7,how/many,how/many/combined
clubs,7,how/many,how/many/clubs
who,7,by,by/who
conference,7,which,which/conference
status,7,what,what/status
cities,7,how/many,how/many/cities
team,7,when/the,when/the/team
has,7,what/district,what/district/has
car,7,which,which/car
has,7,what/roles,what/roles/has
music,7,what,what/music
label,7,which,which/label
has,7,which/one,which/one/has
the,7,who/produced,who/produced/the
produced,7,who,who/produced
station,7,what,what/station
home,7,when/the,when/the/home
opponents,7,which,which/opponents
new,7,how/many,how/many/new
in,7,what,what/in
built,7,who,who/built
has,7,which/round,which/round/has
was,7,how/fast,how/fast/was
workers,7,how/many,how/many/workers
earned,7,who,who/earned
kilometers,7,how/many,how/many/kilometers
dates,7,which,which/dates
place,7,in/what,in/what/place
districts,7,how/many,how/many/districts
s,7,which/gender,which/gender/s
beat,7,who,who/beat
was,7,what/album,what/album/was
party,7,which/1st,which/1st/party
did,7,what/medal,what/medal/did
powerful,7,how,how/powerful
did,7,what/round,what/round/did
education,7,which,which/education
did,7,which/film,which/film/did
some,7,what/were,what/were/some
countries,7,what,what/countries
does,7,what/country,what/country/does
would,7,what,what/would
categories,7,what,what/categories
trains,7,how/many,how/many/trains
manufactured,7,who,who/manufactured
started,7,who,who/started
is,7,how/tall,how/tall/is
international,7,how/many,how/many/international
won,7,which/candidate,which/candidate/won
high,7,how,how/high
tied,7,who,who/tied
was,7,what/surface,what/surface/was
airing,7,what/is,what/is/airing
has,7,which/away,which/away/has
did,7,what/dates,what/dates/did
did,7,what/series,what/series/did
starred,7,who,who/starred
event,7,in/what,in/what/event
were,7,how,how/were
2,7,which,which/2
month,7,what,what/month
movies,7,how/many,how/many/movies
won,7,which/team,which/team/won
winning,7,which,which/winning
medals,7,what,what/medals
are,7,when/there,when/there/are
number,7,how/many,how/many/number
was,7,what/years,what/years/was
was,7,what/week,what/week/was
has,7,which/competition,which/competition/has
years,7,in/which,in/which/years
it,7,when,when/it
has,7,what/awards,what/awards/has
respondents,7,how/many,how/many/respondents
did,7,which/competition,which/competition/did
in,7,how/long,how/long/in
from,7,how/far,how/far/from
characters,7,what,what/characters
did,7,what/singles,what/singles/did
performed,7,who,who/performed
car,7,what,what/car
movie,7,which,which/movie
party,7,which/political,which/political/party
did,7,which/singles,which/singles/did
non,7,how/many,how/many/non
the,7,who/drove,who/drove/the
goals,6,which,which/goals
french,6,how/many,how/many/french
score,6,did/he,did/he/score
was,6,what/circuit,what/circuit/was
has,6,which/surface,which/surface/has
of,6,which/number,which/number/of
does,6,how/much,how/much/does
jonathan,6,did,did/jonathan
was,6,which/awards,which/awards/was
has,6,which/game,which/game/has
did,6,which/titles,which/titles/did
touchdown,6,how/many,how/many/touchdown
incumbents,6,how/many,how/many/incumbents
is,6,which/location,which/location/is
candidate,6,what,what/candidate
were,6,what/events,what/events/were
had,6,which/competition,which/competition/had
was,6,what/nationality,what/nationality/was
is,6,what/percentage,what/percentage/is
was,6,what/rank,what/rank/was
has,6,how,how/has
drafted,6,who/was,who/was/drafted
district,6,in/which,in/which/district
has,6,what/films,what/films/has
had,6,which/party,which/party/had
the,6,who/released,who/released/the
district,6,in/what,in/what/district
has,6,what/location,what/location/has
had,6,which/episode,which/episode/had
was,6,what/venue,what/venue/was
was,6,what/competition,what/competition/was
period,6,what,what/period
and,6,what,what/and
of,6,which/area,which/area/of
conference,6,what,what/conference
good,6,how,how/good
was,6,what/film,what/film/was
the,6,who/played,who/played/the
represented,6,who,who/represented
models,6,how/many,how/many/models
was,6,what/season,what/season/was
residents,6,how/many,how/many/residents
kilograms,6,how/many,how/many/kilograms
number,6,which/model,which/model/number
awards,6,what/two,what/two/awards
often,6,how,how/often
highest,6,is/the,is/the/highest
and,6,who,who/and
competition,6,in/what,in/what/competition
municipality,6,which,which/municipality
category,6,in/which,in/which/category
did,6,what/chassis,what/chassis/did
is,6,what/name,what/name/is
was,6,what/films,what/films/was
ranks,6,how/many,how/many/ranks
league,6,in/which,in/which/league
games,6,which,which/games
had,6,which/venue,which/venue/had
had,6,which/opponent,which/opponent/had
of,6,which/sex,which/sex/of
have,6,which,which/have
does,6,who,who/does
competed,6,who,who/competed
candidates,6,how/many,how/many/candidates
shows,6,what/tv,what/tv/shows
2009,6,which,which/2009
may,6,how,how/may
was,6,which/country,which/country/was
number,6,what/total,what/total/number
units,6,how/many,how/many/units
province,6,in/which,in/which/province
and,6,what/role,what/role/and
were,6,what/date,what/date/were
their,6,what/was,what/was/their
lived,6,who,who/lived
minutes,6,how/many,how/many/minutes
was,6,which/week,which/week/was
release,6,which,which/release
in,6,are,are/in
categories,6,which,which/categories
island,6,which,which/island
has,6,which/party,which/party/has
election,6,which,which/election
aircraft,6,what,what/aircraft
the,6,which/had,which/had/the
his,6,what/was,what/was/his
likely,6,who/is,who/is/likely
runner,6,which,which/runner
nations,6,how/many,how/many/nations
championship,6,how/many,how/many/championship
in,6,who,who/in
outcome,6,which,which/outcome
did,6,which/event,which/event/did
is,6,what/rank,what/rank/is
aircraft,6,which,which/aircraft
played,6,which,which/played
would,6,how/much,how/much/would
did,6,which/date,which/date/did
and,6,what/team,what/team/and
s,6,did/federal,did/federal/s
parish,6,in/which,in/which/parish
has,6,what/club,what/club/has
there,6,is,is/there
was,6,what/stadium,what/stadium/was
had,6,which/gender,which/gender/had
in,6,what/number,what/number/in
did,6,what/clubs,what/clubs/did
founded,6,who,who/founded
had,6,which/athlete,which/athlete/had
songs,6,which,which/songs
tie,6,which,which/tie
county,6,in/what,in/what/county
ends,6,how/many,how/many/ends
composed,6,who,who/composed
a,6,what/is,what/is/a
is,6,which/airport,which/airport/is
schools,6,which,which/schools
top,6,how/many,how/many/top
constructed,6,who,who/constructed
example,6,what,what/example
positions,6,what,what/positions
family,6,what,what/family
was,6,what/place,what/place/was
rates,6,how/much,how/much/rates
person,6,which,which/person
thousands,6,how/many,how/many/thousands
was,6,which/group,which/group/was
characteristics,6,which,which/characteristics
was,6,what/month,what/month/was
did,6,what/competition,what/competition/did
elected,6,who/was,who/was/elected
vehicle,6,which,which/vehicle
high,6,which,which/high
albums,6,which,which/albums
aboriginal,6,how/many,how/many/aboriginal
director,6,which,which/director
actress,6,which,which/actress
of,6,which/album,which/album/of
the,5,what/as,what/as/the
religious,5,what,what/religious
regular,5,how/many,how/many/regular
3,5,which,which/3
live,5,how/many,how/many/live
nominating,5,which,which/nominating
was,5,which/province,which/province/was
original,5,how/many,how/many/original
festival,5,which/nominating,which/nominating/festival
inpatient,5,who/received,who/received/inpatient
states,5,how/many,how/many/states
firearm,5,did,did/firearm
no,5,who/was,who/was/no
in,5,who/won,who/won/in
has,5,which/airport,which/airport/has
did,5,what/engine,what/engine/did
related,5,did/firearm,did/firearm/related
has,5,which/stadium,which/stadium/has
was,5,what/category,what/category/was
fa,5,how/many,how/many/fa
characters,5,which,which/characters
winner,5,what/is,what/is/winner
football,5,which,which/football
